COURSE PER BUILDING REPORT,,,,,,,,
UNIVERSITY OF SAN CARLOS,,,,,,,,
PERIOD: 2nd SEMESTER SY 2018 - 2019,,,,,,,,
,,,,,,,,
COURSE TITLE,COURSE DESCRIPTION,GROUP #,ENROLLED STUDENTS,,COURSE STATUS,SCHEDULE,,
AA 310,ART DIRECTION 1,2,5,,PETITION,F (08:30 AM) - (12:30 PM) AF2B08B(Dummy)      F (12:30 PM) - (04:30 PM) AFCHTC              ,,
AA 313X,ADVERTISING PRODUCTION 1,1,14,,PETITION,W (09:30 AM) - (12:30 PM) AF207TC             ,,
AA 313X,ADVERTISING PRODUCTION 1,2,3,,TUTORIAL,F (09:30 AM) - (12:30 PM) AF104TC             ,,
AA 314X,FILM AND VIDEO ARTS 1,1,5,,PETITION,M (01:30 PM) - (05:30 PM) AF109A              ,,
AA 317X,INTRODUCTION TO MARKETING 1,1,0,,TUTORIAL,T (04:00 PM) - (07:00 PM) AF104TC             ,,
AA 321,ADVERTISING THEORY 2,1,13,,PETITION,F (12:30 PM) - (03:30 PM) AF207TC             ,,
AA 322,MEDIA PLANNING,1,22,,PETITION,Sat (08:30 AM) - (12:30 PM) AF210TC             ,,
AA 323,ADVERTISING PRODUCTION 2,1,7,,PETITION,Sat (08:30 AM) - (11:30 AM) AF207TC             ,,
AA 324,FILM AND VIDEO ARTS 2,1,14,,PETITION,F (12:30 PM) - (04:30 PM) AF109A              ,,
AA 325,BASIC ANIMATION,1,18,,PETITION,F (04:30 PM) - (08:30 PM) AF109A              ,,
AA 327,INTRODUCTION TO MARKETING 2,1,2,,TUTORIAL,T (12:30 PM) - (03:30 PM) AF104TC             ,,
AA 410,ADVERTISING WORKSHOP 1,1,18,,PETITION,Th (07:30 AM) - (11:30 AM) AF104TC             Th (12:30 PM) - (04:30 PM) AF104TC             ,,
AA 411X,INTERNSHIP,1,25,,REGULAR,T (01:30 PM) - (05:30 PM) AF207TC             ,,
AA 412X,CORPORATE IDENTITY DESIGN,1,33,,PETITION,T (08:30 AM) - (12:30 PM) AF207TC             ,,
AA 413X,PACKAGING DESIGN 1,1,18,,PETITION,M (01:30 PM) - (05:30 PM) AF1B04TC            ,,
AA 414,MULTIMEDIA DESIGN,1,36,,REGULAR,T (05:30 PM) - (07:30 PM) AFCHTC              Th (05:30 PM) - (07:30 PM) AFCHTC              ,,
AA 420,ADVERTISING WORKSHOP 2,1,19,,PETITION,W (08:30 AM) - (12:30 PM) AF210TC             W (01:30 PM) - (05:30 PM) AF210TC             ,,
AA 422,VISUAL MERCHANDISING AND ENVIRONMENTAL GRAPHICS,1,19,,PETITION,F (08:30 AM) - (12:30 PM) AF207TC             ,,
AA 423,PACKAGING DESIGN 2,1,33,,REGULAR,M (08:30 AM) - (12:30 PM) AF1B04TC            ,,
AA 424,MULTIMEDIA DESIGN 2,1,30,,REGULAR,Sat (01:30 PM) - (05:30 PM) AFCHTC              ,,
AC 1N,PRINCIPLE OF ARCHITECTURAL CONSERVATION 1X,2,6,,DISSOLVED,TTh (09:00 AM) - (10:30 AM) 1B12a               ,,
AC 1N,PRINCIPLE OF ARCHITECTURAL CONSERVATION 1X,1,14,,PETITION,MWF (09:30 AM) - (10:30 AM) 1B12d               ,,
AC 2,ARCHITECTURAL CONSERVATION 2,1,0,,DISSOLVED,Sat (08:30 AM) - (03:30 PM) 1B10a               ,,
AC 2,ARCHITECTURAL CONSERVATION 2,2,22,,REGULAR,Sat (08:30 AM) - (03:30 PM) 1B12b               ,,
ARCHIST 1,HISTORY OF ARCHITECTURE I (ANCIENT),1,5,,PETITION,MWF (11:30 AM) - (12:30 PM) AF208               ,,
ARCHIST 2,HISTORY OF ARCHITECTURE 2 (MEDIEVAL),1,18,,PETITION,TTh (12:00 PM) - (01:30 PM) AF208               ,,
ARCHIST 3,HISTORY OF ARCHITECTURE 3 (MODERN & CONTEMPORARY),1,37,,REGULAR,MWF (10:30 AM) - (11:30 AM) 1B12b               ,,
ARCHIST 4,HISTORY OF ARCHITECTURE (ORIENTAL),1,28,,PETITION,MWF (12:30 PM) - (01:30 PM) AF208               ,,
ARCHJOUR,ARCHITECTURAL JORNALISM AND CRITICISM,1,40,,REGULAR,Sat (08:30 AM) - (11:30 AM) AF208               ,,
ARCHJOUR,ARCHITECTURAL JORNALISM AND CRITICISM,2,38,,REGULAR,Sat (01:30 PM) - (04:30 PM) AF210TC             ,,
ARCHSTR 1,DESIGNING OF SIMPLE ELEMENTS,2,0,,PETITION,TTh (12:00 PM) - (01:30 PM) 1B12E               ,,
ARCHSTR 2,STRCTURAL DESIGN OF REINFORCED CONCRETE 1,3,19,,PETITION,TTh (12:00 PM) - (01:30 PM) AF305               ,,
ARCHSTR 2,STRCTURAL DESIGN OF REINFORCED CONCRETE 1,4,13,,PETITION,MWF (08:30 AM) - (09:30 AM) 1B12d               ,,
ARCHSTR 2,STRCTURAL DESIGN OF REINFORCED CONCRETE 1,1,44,,REGULAR,TTh (01:30 PM) - (03:00 PM) AF101               ,,
ARCHSTR 2,STRCTURAL DESIGN OF REINFORCED CONCRETE 1,2,45,,REGULAR,TTh (12:00 PM) - (01:30 PM) AF101               ,,
ARCMATH 40A,ALGEBRA,1,2,,TUTORIAL,MW (04:00 PM) - (05:30 PM) AF101               ,,
ARCMATH 40B,TRIGONOMETRY,1,1,,TUTORIAL,F (02:30 PM) - (05:30 PM) AF101               ,,
