986460,"MACTAN",,8.0,10.300,123.967,24,PHL,5,CHN,Am
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code)        
01/01/2003,01:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,B,8,99,C,9,25.0,C,8,24.3,C,8,96,E,9,1008,C,8,360,B,8,3.3,B,8,10000,B,8,3000,B,8,5.1,F,9,,,,,,,2.6,1,B,8,2
01/01/2003,02:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,A,7,99,C,9,24.6,C,8,24.1,C,8,97,E,9,1007,C,8,360,A,7,2.0,A,7,10000,A,7,3000,A,7,5.0,F,9,,,,,,,0.0,1,B,8,2
01/01/2003,03:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,B,8,99,C,9,24.9,C,8,24.4,C,8,97,E,9,1007,C,8,360,B,8,2.3,B,8,10000,B,8,3000,B,8,5.1,F,9,,,,,,,0.0,1,B,8,2
01/01/2003,04:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,B,8,99,C,9,25.0,B,8,24.7,B,8,98,E,9,1008,B,8,330,B,8,2.7,B,8,10000,B,8,3000,B,8,5.2,F,9,,,,,,,0.0,1,B,8,2
01/01/2003,05:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,A,7,99,C,9,25.2,A,7,24.9,A,7,98,E,9,1008,A,7,330,A,7,3.0,A,7,10000,A,7,3000,A,7,5.3,F,9,,,,,,,0.0,1,B,8,2
01/01/2003,06:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,7,B,8,99,C,9,25.3,C,8,25.1,C,8,99,E,9,1008,B,8,330,B,8,3.0,B,8,10000,B,8,3500,B,8,5.4,F,9,,,,,,,0.0,1,B,8,2
01/01/2003,07:00,148,1383,39,E,5,53,E,5,33,E,5,4225,E,5,0,E,5,3622,E,5,143,E,5,6,B,8,99,C,9,25.7,C,8,25.3,C,8,98,E,9,1009,B,8,20,B,8,3.0,B,8,10000,B,8,4000,B,8,5.5,F,9,,,,,,,0.0,1,B,8,2
01/01/2003,08:00,452,1411,151,E,5,75,E,5,127,E,5,16492,E,5,3085,E,5,13922,E,5,619,E,5,6,A,7,99,C,9,26.4,A,7,25.5,A,7,95,E,9,1010,A,7,20,A,7,3.0,A,7,10000,A,7,4500,A,7,5.5,F,9,,,,,,,0.0,1,B,8,2
01/01/2003,09:00,728,1411,304,E,5,133,E,5,235,E,5,33403,E,5,8413,E,5,26015,E,5,1255,E,5,5,B,8,99,C,9,27.9,C,8,25.8,C,8,88,E,9,1010,B,8,20,B,8,4.3,B,8,10000,B,8,4500,B,8,5.6,F,9,,,,,,,0.0,1,B,8,2
01/01/2003,10:00,948,1411,461,E,5,214,E,5,317,E,5,51398,E,5,14844,E,5,35575,E,5,1791,E,5,4,B,8,99,C,9,29.4,C,8,26.0,C,8,82,E,9,1010,B,8,50,B,8,5.7,B,8,10000,B,8,77777,B,8,5.7,F,9,,,,,,,0.0,1,B,8,80
01/01/2003,11:00,1097,1411,596,E,5,314,E,5,352,E,5,67399,E,5,21603,E,5,40097,E,5,2038,E,5,3,A,7,99,C,9,30.6,A,7,26.1,A,7,77,E,9,1010,A,7,50,A,7,7.0,A,7,10000,A,7,77777,A,7,5.8,F,9,,,,,,,0.0,1,B,8,80
01/01/2003,12:00,1164,1411,623,E,5,289,E,5,384,E,5,70589,E,5,20417,E,5,43836,E,5,2230,E,5,3,B,8,99,C,9,30.9,C,8,25.9,C,8,75,E,9,1009,B,8,50,B,8,6.7,B,8,10000,B,8,77777,B,8,5.7,F,9,,,,,,,0.0,1,B,8,80
01/01/2003,13:00,1146,1411,592,E,5,253,E,5,387,E,5,66927,E,5,18122,E,5,43992,E,5,2244,E,5,3,B,8,99,C,9,30.8,C,8,25.8,C,8,75,E,9,1008,B,8,40,B,8,6.3,B,8,10000,B,8,77777,B,8,5.6,F,9,,,,,,,0.0,1,B,8,80
01/01/2003,14:00,1043,1411,498,E,5,190,E,5,358,E,5,55805,E,5,13645,E,5,40369,E,5,2055,E,5,4,A,7,99,C,9,30.2,A,7,25.6,A,7,76,E,9,1008,A,7,40,A,7,6.0,A,7,10000,A,7,77777,A,7,5.6,F,9,,,,,,,2.7,1,B,8,80
01/01/2003,15:00,862,1411,358,E,5,116,E,5,287,E,5,39676,E,5,7950,E,5,31989,E,5,1587,E,5,6,B,8,99,C,9,29.2,C,8,25.6,C,8,81,E,9,1008,B,8,40,B,8,6.3,B,8,9333,B,8,77777,B,8,5.6,F,9,,,,,,,2.7,1,B,8,80
01/01/2003,16:00,616,1411,209,E,5,64,E,5,181,E,5,23022,E,5,3564,E,5,20037,E,5,934,E,5,8,B,8,99,C,9,28.0,C,8,25.5,C,8,86,E,9,1008,B,8,30,B,8,6.7,B,8,8666,B,8,2400,B,8,5.5,F,9,,,,,,,2.7,1,B,8,80
01/01/2003,17:00,323,1411,79,E,5,30,E,5,72,E,5,8694,E,5,477,E,5,7976,E,5,335,E,5,10,A,7,99,C,9,26.8,A,7,25.2,A,7,91,E,9,1009,A,7,30,A,7,7.0,A,7,8000,A,7,2400,A,7,5.4,F,9,,,,,,,2.7,1,B,8,80
01/01/2003,18:00,41,700,6,E,5,15,E,5,6,E,5,718,E,5,0,E,5,669,E,5,24,E,5,9,B,8,99,C,9,25.6,C,8,24.5,C,8,94,E,9,1009,B,8,30,B,8,6.3,B,8,8000,B,8,2400,B,8,5.2,F,9,,,,,,,2.7,1,B,8,80
01/01/2003,19:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,B,8,99,C,9,25.1,B,8,24.0,B,8,94,E,9,1010,B,8,40,B,8,5.7,B,8,8000,B,8,2400,B,8,5.0,F,9,,,,,,,2.7,1,B,8,25
01/01/2003,20:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,A,7,99,C,9,24.3,A,7,23.4,A,7,95,E,9,1010,A,7,40,A,7,5.0,A,7,8000,A,7,2400,A,7,4.8,F,9,,,,,,,0.0,1,B,8,25
01/01/2003,21:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,9,B,8,99,C,9,24.6,B,8,23.7,B,8,95,E,9,1010,B,8,40,B,8,5.3,B,8,8666,B,8,2400,B,8,4.9,F,9,,,,,,,0.0,1,B,8,25
