time;kw;Demand
1;8.93;Measured
2;8.73;Measured
3;8.73;Measured
4;8.53;Measured
5;8.48;Measured
6;8.48;Measured
7;10.03;Measured
8;36.55;Measured
9;80.03;Measured
10;99.10;Measured
11;103.30;Measured
12;109.63;Measured
13;114.15;Measured
14;119.33;Measured
15;116.45;Measured
16;101.90;Measured
17;88.28;Measured
18;57.30;Measured
19;39.68;Measured
20;29.23;Measured
21;15.63;Measured
22;9.93;Measured
23;8.85;Measured
24;8.73;Measured
1;7.645616562;Simulated
2;7.591072567;Simulated
3;7.504743388;Simulated
4;7.398244233;Simulated
5;7.297486348;Simulated
6;7.329851716;Simulated
7;7.529083668;Simulated
8;23.51081359;Simulated
9;106.4309038;Simulated
10;115.3196471;Simulated
11;118.8367397;Simulated
12;121.3919088;Simulated
13;122.6042591;Simulated
14;129.2648292;Simulated
15;136.8840324;Simulated
16;128.3297173;Simulated
17;106.9789587;Simulated
18;41.3537914;Simulated
19;24.14835031;Simulated
20;16.25642919;Simulated
21;12.03446469;Simulated
22;7.853657687;Simulated
23;7.802530825;Simulated
24;7.73706703;Simulated
