time;kw;Energy
9;78.20166667;SD_Measured
10;97.70166667;SD_Measured
11;105.5966667;SD_Measured
12;110.6533333;SD_Measured
13;110.9733333;SD_Measured
14;118.775;SD_Measured
15;120.4383333;SD_Measured
16;111.71;SD_Measured
17;97.00333333;SD_Measured
18;67.71166667;SD_Measured
19;45.22;SD_Measured
20;28.74833333;SD_Measured
21;14.98666667;SD_Measured
9;94.47616994;SD_Simulated
10;104.2168602;SD_Simulated
11;106.6544886;SD_Simulated
12;104.0308179;SD_Simulated
13;93.23119444;SD_Simulated
14;98.10591662;SD_Simulated
15;107.1026108;SD_Simulated
16;101.8719579;SD_Simulated
17;89.29845025;SD_Simulated
18;39.88936197;SD_Simulated
19;23.81716407;SD_Simulated
20;14.75945995;SD_Simulated
21;6.38649402;SD_Simulated
9;12.75;Sun_Measured
10;13.1;Sun_Measured
11;13.95;Sun_Measured
12;14.03;Sun_Measured
13;13.78;Sun_Measured
14;13.23;Sun_Measured
15;12.85;Sun_Measured
16;13.03;Sun_Measured
17;17.68;Sun_Measured
18;13.2;Sun_Measured
19;10.15;Sun_Measured
20;9.95;Sun_Measured
21;9.5;Sun_Measured
9;4.916033425;Sun_Simulated
10;5.173123118;Sun_Simulated
11;5.382361275;Sun_Simulated
12;5.560455345;Sun_Simulated
13;5.70441446;Sun_Simulated
14;5.826978876;Sun_Simulated
15;5.814705594;Sun_Simulated
16;5.740108448;Sun_Simulated
17;5.595899601;Sun_Simulated
18;5.380287943;Sun_Simulated
19;5.183159343;Sun_Simulated
20;5.032573246;Sun_Simulated
21;4.914947627;Sun_Simulated
