time;kw;Energy
9;78.20166667;SD_Measured
10;97.70166667;SD_Measured
11;105.5966667;SD_Measured
12;110.6533333;SD_Measured
13;110.9733333;SD_Measured
14;118.775;SD_Measured
15;120.4383333;SD_Measured
16;111.71;SD_Measured
17;97.00333333;SD_Measured
18;67.71166667;SD_Measured
19;45.22;SD_Measured
20;28.74833333;SD_Measured
21;14.98666667;SD_Measured
9;91.14187513;SD_Simulated
10;108.8403983;SD_Simulated
11;114.4766997;SD_Simulated
12;113.9357819;SD_Simulated
13;103.463034;SD_Simulated
14;104.9986465;SD_Simulated
15;111.9283305;SD_Simulated
16;106.8657623;SD_Simulated
17;94.86212773;SD_Simulated
18;41.46951853;SD_Simulated
19;25.64043701;SD_Simulated
20;16.6697665;SD_Simulated
21;7.287139744;SD_Simulated
9;12.75;Sun_Measured
10;13.1;Sun_Measured
11;13.95;Sun_Measured
12;14.03;Sun_Measured
13;13.78;Sun_Measured
14;13.23;Sun_Measured
15;12.85;Sun_Measured
16;13.03;Sun_Measured
17;17.68;Sun_Measured
18;13.2;Sun_Measured
19;10.15;Sun_Measured
20;9.95;Sun_Measured
21;9.5;Sun_Measured
9;6.607477484;Sun_Simulated
10;6.865023249;Sun_Simulated
11;7.067326545;Sun_Simulated
12;7.232514171;Sun_Simulated
13;7.348437856;Sun_Simulated
14;7.417939003;Sun_Simulated
15;7.371444031;Sun_Simulated
16;7.261944819;Sun_Simulated
17;7.11688904;Sun_Simulated
18;6.899384236;Sun_Simulated
19;6.676324357;Sun_Simulated
20;6.407739185;Sun_Simulated
21;6.211726339;Sun_Simulated
