time;kw;Demand
1;7.58;Measured
2;7.70;Measured
3;7.70;Measured
4;7.52;Measured
5;7.54;Measured
6;7.48;Measured
7;10.94;Measured
8;50.22;Measured
9;97.50;Measured
10;116.42;Measured
11;127.50;Measured
12;139.84;Measured
13;146.04;Measured
14;161.90;Measured
15;171.04;Measured
16;163.92;Measured
17;142.94;Measured
18;99.08;Measured
19;61.90;Measured
20;33.62;Measured
21;16.12;Measured
22;10.04;Measured
23;7.82;Measured
24;7.68;Measured
1;6.36;Simulated
2;6.182122072;Simulated
3;6.026630388;Simulated
4;5.862189534;Simulated
5;5.697278975;Simulated
6;5.733893804;Simulated
7;6.017154218;Simulated
8;25.38786654;Simulated
9;174.4683874;Simulated
10;176.9311258;Simulated
11;179.2874614;Simulated
12;181.0163244;Simulated
13;171.2845158;Simulated
14;160.9083866;Simulated
15;167.1673783;Simulated
16;155.0139786;Simulated
17;136.7924084;Simulated
18;46.33807495;Simulated
19;23.06987728;Simulated
20;9.095520297;Simulated
21;7.146560944;Simulated
22;6.637226168;Simulated
23;6.551326488;Simulated
24;6.449887718;Simulated
