time;kw;Demand
1;8.73;Measured
2;8.73;Measured
3;8.65;Measured
4;8.50;Measured
5;8.60;Measured
6;8.23;Measured
7;9.48;Measured
8;18.95;Measured
9;46.85;Measured
10;60.38;Measured
11;67.65;Measured
12;60.30;Measured
13;43.38;Measured
14;42.03;Measured
15;39.38;Measured
16;36.35;Measured
17;30.40;Measured
18;25.03;Measured
19;18.23;Measured
20;11.40;Measured
21;9.38;Measured
22;8.33;Measured
23;7.88;Measured
24;7.63;Measured
1;8.117777085;Simulated
2;8.09184394;Simulated
3;8.062275475;Simulated
4;8.014590016;Simulated
5;7.958391997;Simulated
6;7.940060681;Simulated
7;7.995659639;Simulated
8;8.084166932;Simulated
9;105.6476951;Simulated
10;137.038981;Simulated
11;142.4053894;Simulated
12;132.4618784;Simulated
13;64.62910504;Simulated
14;62.2171075;Simulated
15;60.55491886;Simulated
16;53.58670568;Simulated
17;45.21054933;Simulated
18;33.88317198;Simulated
19;22.79514745;Simulated
20;18.95258491;Simulated
21;16.48075455;Simulated
22;8.220184152;Simulated
23;8.208616197;Simulated
24;8.185796844;Simulated
