time;kw;Demand
1;7.88;Measured
2;7.80;Measured
3;7.65;Measured
4;7.85;Measured
5;8.25;Measured
6;7.43;Measured
7;8.40;Measured
8;12.85;Measured
9;12.75;Measured
10;13.10;Measured
11;13.95;Measured
12;14.03;Measured
13;13.78;Measured
14;13.23;Measured
15;12.85;Measured
16;13.03;Measured
17;17.68;Measured
18;13.20;Measured
19;10.15;Measured
20;9.95;Measured
21;9.50;Measured
22;9.05;Measured
23;8.95;Measured
24;8.55;Measured
1;8.154962633;Simulated
2;8.124218561;Simulated
3;8.100393235;Simulated
4;8.080236311;Simulated
5;8.056364747;Simulated
6;8.066942752;Simulated
7;8.12782027;Simulated
8;8.207860934;Simulated
9;8.281383354;Simulated
10;8.342679147;Simulated
11;8.39326283;Simulated
12;8.434084869;Simulated
13;8.464960258;Simulated
14;8.485047311;Simulated
15;8.485922048;Simulated
16;8.471050216;Simulated
17;8.448064577;Simulated
18;8.40974084;Simulated
19;8.36555463;Simulated
20;8.320175787;Simulated
21;8.285839683;Simulated
22;8.253608652;Simulated
23;8.219736384;Simulated
24;8.183244223;Simulated
