time;kw;Demand
1;9.50;Measured
2;8.63;Measured
3;8.85;Measured
4;8.03;Measured
5;7.90;Measured
6;7.88;Measured
7;10.43;Measured
8;45.10;Measured
9;85.80;Measured
10;106.03;Measured
11;113.68;Measured
12;116.10;Measured
13;122.78;Measured
14;133.65;Measured
15;132.93;Measured
16;129.45;Measured
17;121.00;Measured
18;86.45;Measured
19;67.35;Measured
20;48.10;Measured
21;23.63;Measured
22;9.48;Measured
23;9.10;Measured
24;8.90;Measured
1;3.208747933;Simulated
2;3.116677612;Simulated
3;2.995964133;Simulated
4;2.858292024;Simulated
5;2.733145866;Simulated
6;2.739182218;Simulated
7;2.943785632;Simulated
8;9.512650833;Simulated
9;58.70810583;Simulated
10;78.35037113;Simulated
11;75.49070283;Simulated
12;72.0351001;Simulated
13;68.83838809;Simulated
14;81.11735605;Simulated
15;91.51281836;Simulated
16;94.92944944;Simulated
17;86.97430164;Simulated
18;44.23822514;Simulated
19;29.82659293;Simulated
20;20.15035161;Simulated
21;3.600854072;Simulated
22;3.475501256;Simulated
23;3.342709224;Simulated
24;3.230511245;Simulated
