time;kw;Demand
1;7.60;Measured
2;7.52;Measured
3;7.52;Measured
4;7.56;Measured
5;7.52;Measured
6;7.48;Measured
7;10.58;Measured
8;43.94;Measured
9;81.58;Measured
10;102.98;Measured
11;110.90;Measured
12;119.82;Measured
13;120.26;Measured
14;132.56;Measured
15;137.20;Measured
16;130.74;Measured
17;117.40;Measured
18;86.06;Measured
19;53.18;Measured
20;31.24;Measured
21;12.56;Measured
22;8.42;Measured
23;8.22;Measured
24;8.10;Measured
1;8.135332176;Simulated
2;8.102524709;Simulated
3;8.065001526;Simulated
4;8.030625139;Simulated
5;7.996005949;Simulated
6;7.997502778;Simulated
7;8.060786638;Simulated
8;18.50509263;Simulated
9;112.4173451;Simulated
10;146.1540725;Simulated
11;153.3065439;Simulated
12;148.1287891;Simulated
13;146.8696435;Simulated
14;163.3870655;Simulated
15;177.8238156;Simulated
16;172.837263;Simulated
17;165.9839631;Simulated
18;87.33893409;Simulated
19;60.04517867;Simulated
20;43.23365421;Simulated
21;8.27725646;Simulated
22;8.243815358;Simulated
23;8.206813097;Simulated
24;8.17652938;Simulated
