time;kw;Demand
1;7.80;Measured
2;7.68;Measured
3;7.58;Measured
4;7.58;Measured
5;7.50;Measured
6;7.73;Measured
7;10.63;Measured
8;39.68;Measured
9;77.45;Measured
10;101.30;Measured
11;110.55;Measured
12;118.23;Measured
13;119.23;Measured
14;123.18;Measured
15;125.63;Measured
16;107.90;Measured
17;82.00;Measured
18;52.35;Measured
19;30.98;Measured
20;18.90;Measured
21;12.60;Measured
22;9.18;Measured
23;8.73;Measured
24;8.65;Measured
1;2.566349145;Simulated
2;2.549311632;Simulated
3;2.5475;Simulated
4;2.5475;Simulated
5;2.5475;Simulated
6;2.5475;Simulated
7;2.552621801;Simulated
8;5.937398378;Simulated
9;61.58147423;Simulated
10;68.2917442;Simulated
11;69.86206555;Simulated
12;70.03592708;Simulated
13;66.06706548;Simulated
14;62.57987953;Simulated
15;70.85230414;Simulated
16;68.23497354;Simulated
17;55.80813319;Simulated
18;18.18185594;Simulated
19;9.082556845;Simulated
20;3.38981247;Simulated
21;3.030277491;Simulated
22;2.678901287;Simulated
23;2.637781219;Simulated
24;2.594839701;Simulated
