day;time;measured;simulated;drybulb
Monday_1;1;4.10;4.98;27.23
Monday_1;2;4.50;4.65;26.73
Monday_1;3;4.30;4.38;26.13
Monday_1;4;4.20;4.09;25.28
Monday_1;5;4.20;3.79;24.38
Monday_1;6;4.20;3.72;24.47
Monday_1;7;8.60;3.99;25.50
Monday_1;8;40.00;17.99;26.82
Monday_1;9;75.40;140.06;27.98
Monday_1;10;103.40;142.53;28.98
Monday_1;11;111.50;145.32;29.81
Monday_1;12;116.00;147.16;30.39
Monday_1;13;126.30;137.33;30.72
Monday_1;14;140.20;130.82;30.80
Monday_1;15;147.50;139.88;30.63
Monday_1;16;142.40;129.27;30.27
Monday_1;17;127.90;111.34;29.87
Monday_1;18;81.70;39.75;29.53
Monday_1;19;44.50;19.59;29.23
Monday_1;20;19.90;7.80;28.93
Monday_1;21;9.10;6.00;28.63
Monday_1;22;7.10;5.45;28.33
Monday_1;23;6.70;5.34;28.03
Monday_1;24;6.90;5.22;27.78
Monday_2;1;12.00;5.09;28.04
Monday_2;2;11.70;4.96;27.88
Monday_2;3;11.90;4.79;27.57
Monday_2;4;11.20;4.60;27.17
Monday_2;5;11.90;4.41;26.77
Monday_2;6;11.90;4.36;26.89
Monday_2;7;14.00;4.57;27.51
Monday_2;8;49.80;20.18;28.33
Monday_2;9;96.30;153.52;29.23
Monday_2;10;107.50;153.13;30.07
Monday_2;11;117.20;154.41;30.69
Monday_2;12;129.10;155.86;31.02
Monday_2;13;140.90;145.43;31.10
Monday_2;14;158.80;137.84;31.10
Monday_2;15;163.80;146.40;31.10
Monday_2;16;159.30;135.37;31.04
Monday_2;17;143.80;116.84;30.77
Monday_2;18;103.20;40.96;30.19
Monday_2;19;65.70;20.01;29.55
Monday_2;20;31.60;7.86;28.95
Monday_2;21;18.60;6.04;28.64
Monday_2;22;11.50;5.55;28.54
Monday_2;23;8.70;5.47;28.44
Monday_2;24;8.30;5.34;28.23
Monday_3;1;7.90;5.01;27.60
Monday_3;2;8.20;4.91;27.54
Monday_3;3;8.40;4.77;27.33
Monday_3;4;8.20;4.60;26.97
Monday_3;5;7.90;4.41;26.63
Monday_3;6;7.90;4.29;26.68
Monday_3;7;11.00;4.40;27.09
Monday_3;8;53.20;19.51;27.71
Monday_3;9;95.40;151.69;28.53
Monday_3;10;113.40;151.53;29.37
Monday_3;11;127.10;152.08;30.05
Monday_3;12;146.40;153.02;30.30
Monday_3;13;154.30;141.78;30.24
Monday_3;14;177.40;133.39;30.08
Monday_3;15;188.80;141.66;30.06
Monday_3;16;174.80;131.23;30.04
Monday_3;17;136.20;113.41;29.94
Monday_3;18;89.40;39.56;29.61
Monday_3;19;42.80;19.33;29.11
Monday_3;20;23.60;7.55;28.61
Monday_3;21;12.80;5.76;28.28
Monday_3;22;9.70;5.27;28.14
Monday_3;23;8.40;5.20;27.98
Monday_3;24;8.30;5.04;27.55
Monday_4;1;6.60;4.99;26.71
Monday_4;2;6.60;4.80;26.27
Monday_4;3;6.50;4.67;26.16
Monday_4;4;6.70;4.56;26.20
Monday_4;5;6.50;4.46;26.26
Monday_4;6;6.30;4.55;27.00
Monday_4;7;9.40;4.90;28.20
Monday_4;8;48.40;21.74;29.34
Monday_4;9;107.20;159.22;30.03
Monday_4;10;131.60;159.80;30.32
Monday_4;11;140.80;159.89;30.46
Monday_4;12;158.50;159.56;30.56
Monday_4;13;153.10;149.15;30.66
Monday_4;14;163.30;141.55;30.76
Monday_4;15;178.30;150.21;30.86
Monday_4;16;163.10;139.23;30.84
Monday_4;17;144.70;120.81;30.63
Monday_4;18;114.60;41.86;30.09
Monday_4;19;71.40;20.42;29.33
Monday_4;20;47.90;7.90;28.59
Monday_4;21;20.10;5.99;28.07
Monday_4;22;8.70;5.39;27.61
Monday_4;23;7.60;5.22;27.17
Monday_4;24;7.40;5.11;27.06
Tuesday_1;1;6.50;5.11;27.64
Tuesday_1;2;6.30;4.97;27.48
Tuesday_1;3;6.60;4.84;27.34
Tuesday_1;4;6.80;4.75;27.30
Tuesday_1;5;6.50;4.66;27.24
Tuesday_1;6;6.50;4.60;27.26
Tuesday_1;7;10.60;4.70;27.53
Tuesday_1;8;47.40;14.57;28.05
Tuesday_1;9;93.50;103.00;28.88
