temp;value
27.23;-0.482007329
26.73;-0.082458855
26.13;-0.043920633
25.28;0.061823621
24.38;0.223417846
24.47;0.261687801
25.50;2.535907206
26.82;12.11200418
27.98;-35.57830719
28.98;-21.52910371
29.81;-18.60781922
30.39;-17.1430336
30.72;-6.070908529
30.80;5.160191121
30.63;4.195031188
30.27;7.222632337
29.87;9.112707464
29.53;23.08454897
29.23;13.7056614
28.93;6.658888099
28.63;1.707692655
28.33;0.907227959
28.03;0.747004408
27.78;0.923132139
28.04;3.802785045
27.88;3.709380133
27.57;3.914064864
27.17;3.633255842
26.77;4.123763915
26.89;4.149107852
27.51;5.186375047
28.33;16.2967743
29.23;-31.48431636
30.07;-25.10632152
30.69;-20.47630291
31.02;-14.72352506
31.10;-2.493551115
31.10;11.53149595
31.10;9.572392149
31.04;13.16491083
30.77;14.83722015
30.19;34.24916778
29.55;25.13868032
28.95;13.06417616
28.64;6.909839043
28.54;3.275664951
28.44;1.777325236
28.23;1.627182843
27.60;1.591065338
27.54;1.809739861
27.33;1.998829697
26.97;1.983127665
26.63;1.920817172
26.68;1.986050574
27.09;3.633203242
27.71;18.53827919
28.53;-30.97070957
29.37;-20.981616
30.05;-13.74382014
30.30;-3.642286645
30.24;6.889675541
30.08;24.21428349
30.06;25.93617853
30.04;23.97257212
29.94;12.5403083
29.61;27.42216634
29.11;12.91244873
28.61;8.831839724
28.28;3.872571535
28.14;2.437114383
27.98;1.762416175
27.55;1.793592061
26.71;0.888298452
26.27;0.990594393
26.16;1.006858612
26.20;1.174853403
26.26;1.119912247
27.00;0.963319326
28.20;2.477224877
29.34;14.67183464
30.03;-28.62145472
30.32;-15.51770586
30.46;-10.50601251
30.56;-0.582360065
30.66;2.171727672
30.76;11.96631633
30.86;15.45707763
30.84;13.1366614
30.63;13.14413474
30.09;40.02502676
29.33;28.05360063
28.59;22.01135691
28.07;7.765310795
27.61;1.819541381
27.17;1.308928314
27.06;1.260490158
27.64;0.767312472
27.48;0.730575033
27.34;0.966747836
27.30;1.126414461
27.24;1.011295589
27.26;1.045436997
27.53;3.246818403
28.05;18.06272807
28.88;-5.225974829
29.83;-7.363668996
30.55;-9.541610765
30.86;-5.291545977
30.84;2.056370128
30.68;1.669257869
30.48;-8.033999196
30.28;-10.56930691
30.08;-12.33218247
29.88;0.52531461
29.63;3.193211594
29.33;2.591408119
28.97;7.140958073
28.57;2.406634503
28.17;2.080938845
27.77;2.085104663
27.98;1.819087795
27.73;1.846586555
27.54;1.863281719
27.38;1.823141494
27.24;2.112349824
27.61;1.941978246
28.37;1.70358069
29.11;1.563169465
29.17;1.805860239
29.64;1.52826626
30.68;1.354324356
31.16;1.217816122
31.20;1.25856127
