value;temp
-0.527141265;27.23
-0.51033774;26.73
-0.510660381;26.13
-0.518831672;25.28
-0.529583956;24.38
-0.534728618;24.47
-0.529787598;25.50
-1.687474502;26.82
-13.62183181;27.98
-11.50119703;28.98
-11.19552564;29.81
-11.07281076;30.39
-11.38859416;30.72
-10.73963137;30.80
-9.933364288;30.63
-8.702980349;30.27
-8.37771112;29.87
-2.814700824;29.53
-1.294530327;29.23
-0.573973945;28.93
-0.514499432;28.63
-0.517674551;28.33
-0.52458305;28.03
-0.52870621;27.78
-0.549121066;28.04
-0.552212636;27.88
-0.556310882;27.57
-0.562613074;27.17
-0.56770599;26.77
-0.566162959;26.89
-0.554746128;27.51
-2.067943755;28.33
-13.52716576;29.23
-12.37042651;30.07
-12.13109391;30.69
-12.18992389;31.02
-12.63246513;31.10
-11.50431223;31.10
-10.28239693;31.10
-9.086648291;31.04
-8.903164587;30.77
-2.899292436;30.19
-1.379199273;29.55
-0.589747274;28.95
-0.521861872;28.64
-0.525924958;28.54
-0.530175602;28.44
-0.532043624;28.23
-0.531483753;27.60
-0.533529101;27.54
-0.533679269;27.33
-0.535397538;26.97
-0.55720426;26.63
-0.605907891;26.68
-0.605909093;27.09
-1.960836456;27.71
-14.08825691;28.53
-12.78574937;29.37
-12.2262624;30.05
-12.33985244;30.30
-12.6679378;30.24
-11.94007094;30.08
-10.81306829;30.06
-9.776972357;30.04
-9.413803217;29.94
-3.080218989;29.61
-1.442574225;29.11
-0.626288742;28.61
-0.553228554;28.28
-0.556274261;28.14
-0.560831939;27.98
-0.566865197;27.55
-0.537402717;26.71
-0.541200388;26.27
-0.545376554;26.16
-0.550426543;26.20
-0.552380096;26.26
-0.543932833;27.00
-0.53772876;28.20
-2.359729593;29.34
-12.31437674;30.03
-12.15479379;30.32
-12.68117225;30.46
-12.6310995;30.56
-12.98539268;30.66
-11.57477936;30.76
-10.40833735;30.86
-9.436048622;30.84
-9.369911811;30.63
-2.921604918;30.09
-1.427058379;29.33
-0.583186978;28.59
-0.504282761;28.07
-0.505855548;27.61
-0.511018909;27.17
-0.514880098;27.06
-0.549806049;27.64
-0.552605197;27.48
-0.555789115;27.34
-0.560624522;27.30
-0.565810024;27.24
-0.570001663;27.26
-0.563481439;27.53
-1.577190078;28.05
-11.03991825;28.88
-10.39971293;29.83
-11.24447014;30.55
-11.49061573;30.86
-11.78422438;30.84
-11.92480299;30.68
-11.88898079;30.48
-10.94493943;30.28
-10.62903572;30.08
-5.303051642;29.88
-3.581155503;29.63
-2.346974713;29.33
-0.542231297;28.97
-0.536156857;28.57
-0.531859781;28.17
-0.529484876;27.77
-0.553049744;27.98
-0.558036638;27.73
-0.56236321;27.54
-0.566257864;27.38
-0.569659889;27.24
-0.566709836;27.61
-0.557158331;28.37
-0.552030004;29.11
-0.550563709;29.17
-0.561114968;29.64
-0.553151941;30.68
-0.546331219;31.16
-0.546465378;31.20
-0.542270852;31.08
-0.534202946;30.88
-0.530067838;30.63
-0.529637742;30.33
-0.53305497;30.03
-0.539136933;29.67
-0.541174124;29.33
-0.539857246;29.03
-0.537903144;28.67
-0.53818627;28.33
-0.539014715;28.08
-0.569940452;27.01
-0.575777601;26.45
-0.578786889;26.14
-0.583404531;26.10
-0.589100705;26.04
-0.585098443;26.53
-0.566269052;27.54
-1.589311781;28.58
-11.48074506;29.41
-11.17997334;29.99
-12.04016451;30.43
-11.9624034;30.83
-12.01190928;31.18
-12.03819746;31.36
-11.91024525;31.23
-10.9719008;30.87
-10.72998115;30.41
-5.177292496;29.91
-3.544280432;29.35
-2.332840921;28.81
-0.53086037;28.31
-0.535882263;27.75
-0.541808794;27.21
-0.546550934;27.12
-0.515840604;27.16
-0.516191779;27.26
-0.519076768;26.72
