Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 01/01  01:00:00,25.0,2574.4622641562287 
 01/01  02:00:00,24.76666666666667,2547.5 
 01/01  03:00:00,24.775000000000003,2547.5 
 01/01  04:00:00,24.958333333333333,2547.5 
 01/01  05:00:00,25.116666666666665,2547.5 
 01/01  06:00:00,25.258333333333338,2564.684026559091 
 01/01  07:00:00,25.53333333333333,2759.3387507208267 
 01/01  08:00:00,26.108333333333336,3323.540767065296 
 01/01  09:00:00,27.275000000000003,5219.063148230364 
 01/01  10:00:00,28.775000000000003,7040.427448165617 
 01/01  11:00:00,30.099999999999999,8047.396243441603 
 01/01  12:00:00,30.775000000000003,8436.595007497333 
 01/01  13:00:00,30.84166666666667,8454.443015447527 
 01/01  14:00:00,30.450000000000004,8122.642904228213 
 01/01  15:00:00,29.616666666666665,7596.389971168046 
 01/01  16:00:00,28.5,6811.093296379506 
 01/01  17:00:00,27.3,5479.532653355908 
 01/01  18:00:00,26.100000000000006,3920.9543299199813 
 01/01  19:00:00,25.308333333333338,3080.3653003079285 
 01/01  20:00:00,24.633333333333338,2678.9440270490973 
 01/01  21:00:00,24.474999999999999,2591.0719252248155 
 01/01  22:00:00,24.775000000000003,2676.0496931528583 
 01/01  23:00:00,25.075,2771.6435426299736 
 01/01  24:00:00,25.083333333333333,2732.4299267884658 
 01/02  01:00:00,24.88333333333334,2590.1943278020117 
 01/02  02:00:00,24.683333333333338,2547.5 
 01/02  03:00:00,24.65833333333333,2547.5 
 01/02  04:00:00,24.7,2547.5 
 01/02  05:00:00,24.758333333333338,2547.5 
 01/02  06:00:00,25.325000000000004,2643.5953320323697 
 01/02  07:00:00,26.28333333333333,3409.591084580825 
 01/02  08:00:00,27.28333333333333,11908.774205317068 
 01/02  09:00:00,28.05,126626.33903237638 
 01/02  10:00:00,28.53333333333333,139269.08090254188 
 01/02  11:00:00,28.758333333333338,146420.65179503777 
 01/02  12:00:00,28.683333333333335,146290.8218164337 
 01/02  13:00:00,28.366666666666665,134173.80685115103 
 01/02  14:00:00,27.90833333333333,123869.62197756653 
 01/02  15:00:00,27.40833333333333,129078.5727350262 
 01/02  16:00:00,26.849999999999999,116229.70765720667 
 01/02  17:00:00,26.25,90084.8498442634 
 01/02  18:00:00,25.650000000000003,26972.179276554307 
 01/02  19:00:00,25.10833333333333,12288.355393586693 
 01/02  20:00:00,24.60833333333333,3695.670075065114 
 01/02  21:00:00,24.34166666666667,3082.3811349637435 
 01/02  22:00:00,24.3,2568.613137370705 
 01/02  23:00:00,24.241666666666665,2547.5 
 01/02  24:00:00,24.141666666666667,2547.5 
 01/03  01:00:00,23.983333333333336,2547.5 
 01/03  02:00:00,23.84166666666667,2547.5 
 01/03  03:00:00,23.974999999999999,2547.5 
 01/03  04:00:00,24.275000000000003,2547.5 
 01/03  05:00:00,24.575,2547.5 
 01/03  06:00:00,24.641666666666667,2547.5 
 01/03  07:00:00,24.599999999999999,2547.5 
 01/03  08:00:00,24.71666666666667,8941.980884585873 
 01/03  09:00:00,25.325000000000004,61668.97868080583 
 01/03  10:00:00,26.224999999999999,96527.36581268911 
 01/03  11:00:00,27.125,105394.30662632047 
 01/03  12:00:00,27.733333333333336,109609.26901886209 
 01/03  13:00:00,28.075,111851.71383213345 
 01/03  14:00:00,28.199999999999993,129162.17547570466 
 01/03  15:00:00,28.141666666666667,143837.67452416084 
 01/03  16:00:00,27.866666666666665,146007.29815119515 
 01/03  17:00:00,27.46666666666667,130731.39773168562 
 01/03  18:00:00,27.008333333333338,62820.813679929706 
 01/03  19:00:00,26.625,40752.28772135659 
 01/03  20:00:00,26.266666666666667,26657.050685009122 
 01/03  21:00:00,25.983333333333336,3452.633543523901 
 01/03  22:00:00,25.724999999999999,3140.0532356005006 
 01/03  23:00:00,25.483333333333336,2959.308239250295 
 01/03  24:00:00,25.516666666666667,2943.887643592054 
 01/04  01:00:00,25.65833333333333,2971.9712624093704 
 01/04  02:00:00,25.816666666666668,3067.1253984013906 
 01/04  03:00:00,25.724999999999999,2956.7352352470575 
 01/04  04:00:00,25.366666666666665,2741.1794006873356 
 01/04  05:00:00,25.025000000000003,2566.6869526092128 
 01/04  06:00:00,25.308333333333338,2654.041685260563 
 01/04  07:00:00,26.125,3327.029625366795 
 01/04  08:00:00,27.141666666666667,14880.904800275172 
 01/04  09:00:00,28.125,95052.54979490962 
 01/04  10:00:00,28.90833333333333,114835.18654974496 
 01/04  11:00:00,29.375,124802.30101996773 
 01/04  12:00:00,29.441666666666668,127783.67440969647 
 01/04  13:00:00,29.166666666666669,125391.55701231216 
 01/04  14:00:00,28.766666666666667,130292.95604649019 
 01/04  15:00:00,28.366666666666665,139507.5790600308 
 01/04  16:00:00,27.90833333333333,130114.56175383921 
 01/04  17:00:00,27.349999999999999,102846.89394229932 
 01/04  18:00:00,26.633333333333338,39517.556932209896 
 01/04  19:00:00,26.066666666666668,22741.792273649236 
 01/04  20:00:00,25.55,14420.67443191396 
 01/04  21:00:00,25.475000000000006,8774.083713840444 
 01/04  22:00:00,25.833333333333333,3636.9924072216822 
 01/04  23:00:00,26.175,3957.8741743088854 
 01/04  24:00:00,26.183333333333335,3906.8823769897735 
 01/05  01:00:00,25.925,3556.741203172916 
 01/05  02:00:00,25.683333333333335,3218.201282784059 
 01/05  03:00:00,25.483333333333336,2964.1256121390634 
 01/05  04:00:00,25.224999999999999,2790.926599558059 
 01/05  05:00:00,24.983333333333336,2637.90345933159 
 01/05  06:00:00,24.841666666666666,2551.58248838373 
 01/05  07:00:00,24.916666666666669,2581.6789022947682 
 01/05  08:00:00,25.291666666666669,2834.5244433488165 
 01/05  09:00:00,26.083333333333333,71931.44034712714 
 01/05  10:00:00,27.141666666666667,109000.86285313046 
 01/05  11:00:00,28.125,133697.91464583967 
 01/05  12:00:00,28.791666666666669,128968.11586380977 
 01/05  13:00:00,29.058333333333335,60003.89665655673 
 01/05  14:00:00,29.041666666666669,58471.417954486205 
 01/05  15:00:00,28.708333333333333,57973.84434012917 
 01/05  16:00:00,28.150000000000003,50536.5179340821 
 01/05  17:00:00,27.55,40254.636014965996 
 01/05  18:00:00,26.95,25876.42105246268 
 01/05  19:00:00,26.46666666666667,14890.907036275856 
 01/05  20:00:00,26.008333333333338,10555.251519359685 
 01/05  21:00:00,25.508333333333338,7913.9344541213895 
 01/05  22:00:00,25.008333333333338,3005.146021139822 
 01/05  23:00:00,24.508333333333338,2709.4663275352 
 01/05  24:00:00,24.241666666666665,2549.6921110310977 
 01/06  01:00:00,24.200000000000004,2547.5 
 01/06  02:00:00,24.141666666666667,2547.5 
 01/06  03:00:00,24.099999999999999,2547.5 
 01/06  04:00:00,24.041666666666669,2547.5 
 01/06  05:00:00,24.0,2547.5 
 01/06  06:00:00,24.233333333333336,2547.5 
 01/06  07:00:00,24.691666666666664,2547.5 
 01/06  08:00:00,25.308333333333338,2786.92458862316 
 01/06  09:00:00,26.125,3660.4892513093414 
 01/06  10:00:00,26.96666666666667,4848.4443315028575 
 01/06  11:00:00,27.650000000000003,5727.963392743001 
 01/06  12:00:00,27.958333333333333,6092.378993535195 
 01/06  13:00:00,27.941666666666668,6113.115156217565 
 01/06  14:00:00,27.78333333333333,6033.342435947935 
 01/06  15:00:00,27.583333333333333,5886.248835699372 
 01/06  16:00:00,27.325,5599.882065519673 
 01/06  17:00:00,26.96666666666667,5129.82040401115 
 01/06  18:00:00,26.39166666666667,4363.995967171736 
 01/06  19:00:00,25.925,3746.1847248313675 
 01/06  20:00:00,25.508333333333338,3233.9227253375775 
 01/06  21:00:00,25.3,3058.559486688533 
 01/06  22:00:00,25.358333333333336,3049.2554525021733 
 01/06  23:00:00,25.400000000000003,3027.0162423297556 
 01/06  24:00:00,25.166666666666669,2864.7189966076185 
 01/07  01:00:00,24.76666666666667,2616.496666329512 
 01/07  02:00:00,24.36666666666667,2547.5 
