Date/Time,AF305DAYLIGHINGCONTROL:Daylighting Reference Point 1 Illuminance [lux](Hourly),AF305DAYLIGHINGCONTROL:Daylighting Reference Point 2 Illuminance [lux](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 10/01  01:00:00,0.0,0.0,7959.2340340260525 
 10/01  02:00:00,0.0,0.0,7873.480624506763 
 10/01  03:00:00,0.0,0.0,7736.39281216278 
 10/01  04:00:00,0.0,0.0,7669.686931190198 
 10/01  05:00:00,0.0,0.0,7605.573975803229 
 10/01  06:00:00,19.66554353348883,10.085090970017488,7665.214675931843 
 10/01  07:00:00,102.67843853502537,59.93665562090055,7801.817526176565 
 10/01  08:00:00,164.72275744258199,98.04486826328876,29701.938650045155 
 10/01  09:00:00,191.48785296659455,116.92078488881792,61848.50338016476 
 10/01  10:00:00,182.4680905757074,114.98251411503886,96199.4211061483 
 10/01  11:00:00,153.96965926458004,100.62903504787403,97931.51885578752 
 10/01  12:00:00,126.5619347279054,84.59324162356184,141604.59820598065 
 10/01  13:00:00,130.86947736306719,86.05940682779259,145039.4042143056 
 10/01  14:00:00,130.07119205567694,83.18144098309672,170319.78647607968 
 10/01  15:00:00,104.59415109920509,65.4836768169513,177555.71170813536 
 10/01  16:00:00,68.67088622035678,42.82501793043688,158697.68371688625 
 10/01  17:00:00,27.352308010639307,17.325121559308657,137192.77380015577 
 10/01  18:00:00,3.1035904602058506,1.9665724712521485,52784.818975842885 
 10/01  19:00:00,0.0,0.0,25999.083045837124 
 10/01  20:00:00,0.0,0.0,10994.476428200645 
 10/01  21:00:00,0.0,0.0,8577.795462242471 
 10/01  22:00:00,0.0,0.0,8150.562530488366 
 10/01  23:00:00,0.0,0.0,8136.888514586783 
 10/01  24:00:00,0.0,0.0,8119.398837225795 
 10/02  01:00:00,0.0,0.0,7867.88330061716 
 10/02  02:00:00,0.0,0.0,7777.1476081734 
 10/02  03:00:00,0.0,0.0,7667.301407217766 
 10/02  04:00:00,0.0,0.0,7551.190045651364 
 10/02  05:00:00,0.0,0.0,7424.286700321288 
 10/02  06:00:00,20.16336894991711,10.282417232290357,7536.338552744021 
