Date/Time,AF305DAYLIGHINGCONTROL:Daylighting Reference Point 1 Illuminance [lux](Hourly),AF305DAYLIGHINGCONTROL:Daylighting Reference Point 2 Illuminance [lux](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 10/01  01:00:00,0.0,0.0,7963.017272001282 
 10/01  02:00:00,0.0,0.0,7877.944968411619 
 10/01  03:00:00,0.0,0.0,7740.801417253136 
 10/01  04:00:00,0.0,0.0,7672.267153196008 
 10/01  05:00:00,0.0,0.0,7608.173297778648 
 10/01  06:00:00,126.03815223668348,45.58890906547336,7667.6595646182 
 10/01  07:00:00,858.0331093810049,274.39851149934335,7805.949225552012 
 10/01  08:00:00,692.8792046839744,417.1215961846545,29706.342257138924 
 10/01  09:00:00,777.2326664957824,480.82055470127929,61874.24681707583 
 10/01  10:00:00,720.358328423757,458.32940798686107,96309.80478936382 
 10/01  11:00:00,586.5672610207043,385.2538326053777,98030.95370563143 
 10/01  12:00:00,460.10609996502145,308.98136889738955,141694.39927415169 
 10/01  13:00:00,453.8287158016699,300.75927583625,145111.92594510859 
 10/01  14:00:00,437.46954945518766,282.5366185929507,170382.44821892796 
 10/01  15:00:00,343.97238990009279,217.6564223415802,177616.67556937345 
 10/01  16:00:00,225.34667473574636,141.8923830481274,158774.61786176565 
 10/01  17:00:00,91.7409666484276,58.54991217872981,137267.5701978904 
 10/01  18:00:00,10.409534898632617,6.635889044832809,52789.03110526993 
 10/01  19:00:00,0.0,0.0,26000.55588710556 
 10/01  20:00:00,0.0,0.0,10994.510620013816 
 10/01  21:00:00,0.0,0.0,8577.829551667242 
 10/01  22:00:00,0.0,0.0,8150.59601330973 
 10/01  23:00:00,0.0,0.0,8136.9201480324655 
 10/01  24:00:00,0.0,0.0,8119.429471205141 
 10/02  01:00:00,0.0,0.0,7871.989536985077 
 10/02  02:00:00,0.0,0.0,7779.889530858968 
 10/02  03:00:00,0.0,0.0,7669.911163300875 
 10/02  04:00:00,0.0,0.0,7553.677197479301 
 10/02  05:00:00,0.0,0.0,7426.659325282028 
 10/02  06:00:00,126.72796420079244,46.47556313655451,7538.586049274793 
 10/02  07:00:00,871.4639536962119,281.7523095199148,7974.399664843698 
 10/02  08:00:00,732.4560408910547,434.94107503919278,21087.60269106644 
 10/02  09:00:00,802.826550928647,494.92565330717647,82563.76969170138 
 10/02  10:00:00,734.729854422943,466.82715563816529,115319.09781222265 
 10/02  11:00:00,570.4630686151226,374.8438020179901,121025.86507963711 
 10/02  12:00:00,473.97979328279606,317.69549188713656,151861.17695253765 
 10/02  13:00:00,456.66849717935926,301.87868449122376,136669.34117165485 
 10/02  14:00:00,387.460276011447,250.43575100735164,154253.42383410608 
 10/02  15:00:00,322.1199485198953,204.20862994433069,130426.18854546525 
 10/02  16:00:00,226.05713613887509,142.28279924291165,135213.77790070963 
 10/02  17:00:00,114.68225712420689,72.80181364647749,111029.81926572095 
 10/02  18:00:00,12.939273094352123,8.16349677533407,109442.80950072548 
 10/02  19:00:00,0.0,0.0,64257.629846997384 
 10/02  20:00:00,0.0,0.0,31289.917712876064 
 10/02  21:00:00,0.0,0.0,8631.990493445248 
 10/02  22:00:00,0.0,0.0,8386.292650869234 
 10/02  23:00:00,0.0,0.0,8335.223156199596 
 10/02  24:00:00,0.0,0.0,8295.605639180341 
 10/03  01:00:00,0.0,0.0,8219.10815841262 
 10/03  02:00:00,0.0,0.0,8122.282520187309 
 10/03  03:00:00,0.0,0.0,7992.530025255056 
 10/03  04:00:00,0.0,0.0,7930.962564568536 
 10/03  05:00:00,0.0,0.0,7859.024199148723 
 10/03  06:00:00,48.898905599497847,20.94645163165949,7900.038331615531 
 10/03  07:00:00,303.2702283059335,132.0835833739979,8081.749050242851 
 10/03  08:00:00,419.26451819390089,263.5091931766142,25186.879516356843 
 10/03  09:00:00,589.2906174444992,372.70774838693645,75803.70104676538 
 10/03  10:00:00,601.8821653043345,388.0082709678363,112799.53827575244 
 10/03  11:00:00,539.5144223564657,356.126128770283,133466.99861746157 
 10/03  12:00:00,473.6475749427925,315.68152800045888,164885.22982251386 
 10/03  13:00:00,413.6669070250609,273.1185349929167,155895.84815739288 
 10/03  14:00:00,360.57781526587015,233.64049782558684,152953.2584435114 
 10/03  15:00:00,332.9160249744462,210.87472628003523,158430.76462878925 
 10/03  16:00:00,266.67511022945919,167.340368135633,123689.40236287425 
 10/03  17:00:00,140.11152868477698,87.10574087922832,68641.87615896687 
 10/03  18:00:00,16.800630884796619,10.29744016274252,52189.27514080168 
 10/03  19:00:00,0.0,0.0,22665.831820035444 
 10/03  20:00:00,0.0,0.0,9043.168982406913 
 10/03  21:00:00,0.0,0.0,8520.475370207962 
 10/03  22:00:00,0.0,0.0,8100.672502758949 
 10/03  23:00:00,0.0,0.0,8126.978242122001 
 10/03  24:00:00,0.0,0.0,8124.365848511068 
 10/04  01:00:00,0.0,0.0,8060.245677732455 
 10/04  02:00:00,0.0,0.0,7985.0548774862555 
 10/04  03:00:00,0.0,0.0,7924.356628214905 
 10/04  04:00:00,0.0,0.0,7909.207559840378 
 10/04  05:00:00,0.0,0.0,7907.254894739054 
 10/04  06:00:00,66.58454075259246,26.127151779720156,7929.302935569056 
 10/04  07:00:00,421.16110682772236,167.98103993291978,8000.980985159746 
 10/04  08:00:00,503.3262621789824,315.8308092439519,22700.72155362889 
 10/04  09:00:00,610.0538497760084,385.7627229449019,96413.77052733943 
 10/04  10:00:00,601.2857680310509,387.74206527810977,132216.6008294253 
 10/04  11:00:00,537.093060349116,354.55598458337325,157496.03587683265 
 10/04  12:00:00,489.29067131864846,326.6204370897501,161824.1910705235 
 10/04  13:00:00,462.8841254524846,305.9936854497999,164422.44411525236 
 10/04  14:00:00,434.8995294235214,280.7497094900842,176311.94640655805 
 10/04  15:00:00,393.86208976803797,248.73012662440338,165973.6492244501 
 10/04  16:00:00,293.3593653853214,182.39182989345248,172266.27029975723 
 10/04  17:00:00,150.05699449014376,92.38289194664998,160454.3946169028 
 10/04  18:00:00,19.813066733411515,12.064599581839028,87298.28440074984 
 10/04  19:00:00,0.0,0.0,62352.45226679617 
 10/04  20:00:00,0.0,0.0,44481.81365281241 
 10/04  21:00:00,0.0,0.0,8250.419480336404 
 10/04  22:00:00,0.0,0.0,8238.360843048538 
 10/04  23:00:00,0.0,0.0,8235.496406499775 
 10/04  24:00:00,0.0,0.0,8191.882756048563 
 10/05  01:00:00,0.0,0.0,8095.206772814917 
 10/05  02:00:00,0.0,0.0,7996.323249992221 
 10/05  03:00:00,0.0,0.0,7931.840545747746 
 10/05  04:00:00,0.0,0.0,7915.329472777436 
 10/05  05:00:00,0.0,0.0,7907.040288792581 
 10/05  06:00:00,95.15101069325113,36.48267940705217,7922.972001138162 
 10/05  07:00:00,620.0093368566102,225.47244868010126,7981.209672108217 
 10/05  08:00:00,550.7934841513332,344.2396312581971,28014.380316179497 
 10/05  09:00:00,633.6104482054592,399.4988227033071,70319.01216192164 
 10/05  10:00:00,593.1243589970481,382.4087726420721,137594.93103974139 
 10/05  11:00:00,527.808715980551,348.4002316060527,136158.9478709906 
 10/05  12:00:00,465.84743984683157,312.48263082411298,142519.65220258226 
 10/05  13:00:00,465.37060587161747,307.4250818838828,156296.46167873266 
 10/05  14:00:00,499.9622606683222,319.86183254733347,166606.7512950498 
 10/05  15:00:00,458.76394292379379,285.19643303133577,145363.70663904245 
 10/05  16:00:00,308.54075598998846,189.42485748630123,126677.22159536423 
 10/05  17:00:00,148.35752916502805,91.20094227574772,117316.33943341281 
 10/05  18:00:00,16.310543679421519,9.960099075363475,55630.456451637205 
 10/05  19:00:00,0.0,0.0,29414.28550229617 
