Date/Time,AF305DAYLIGHTCONTROL:Daylighting Reference Point 1 Illuminance [lux](Hourly),AF305DAYLIGHTCONTROL:Daylighting Reference Point 2 Illuminance [lux](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/01  01:00:00,0.0,0.0,5130.347918194705 
 04/01  02:00:00,0.0,0.0,4831.081239542645 
 04/01  03:00:00,0.0,0.0,4555.4856481888255 
 04/01  04:00:00,0.0,0.0,4250.9196078579125 
 04/01  05:00:00,0.0,0.0,3944.859404178365 
 04/01  06:00:00,41.27702194453163,24.838173195066589,3901.6249054096356 
 04/01  07:00:00,348.0675083933684,230.80437025598043,4268.111425625718 
 04/01  08:00:00,685.1106927098522,442.1076847208576,17763.219142255428 
 04/01  09:00:00,835.9207072118842,537.8685526861734,157366.5617558712 
 04/01  10:00:00,801.5259260633289,525.1369450529957,155599.16412665696 
 04/01  11:00:00,634.9770529988008,428.22746847801678,159003.99251711448 
 04/01  12:00:00,530.8235832989167,365.5428801050043,162903.1771598791 
 04/01  13:00:00,555.013843093217,374.23703901472569,150928.20118082304 
 04/01  14:00:00,615.5587584543867,397.9980117019625,140719.05330429079 
 04/01  15:00:00,566.1604494972784,353.65157625958138,150460.52176190119 
 04/01  16:00:00,466.39997806590898,284.5460382253779,140084.8470753757 
 04/01  17:00:00,291.56829038774046,175.44771292752737,119928.45033767732 
 04/01  18:00:00,56.75152394678967,32.94295625763428,39391.651863608284 
 04/01  19:00:00,0.0,0.0,19649.450158839758 
 04/01  20:00:00,0.0,0.0,7998.599207858479 
 04/01  21:00:00,0.0,0.0,6036.269527591328 
 04/01  22:00:00,0.0,0.0,5518.004642810581 
 04/01  23:00:00,0.0,0.0,5436.070341450674 
 04/01  24:00:00,0.0,0.0,5353.4775557992225 
 04/02  01:00:00,0.0,0.0,5280.118750003613 
 04/02  02:00:00,0.0,0.0,5184.282141886704 
 04/02  03:00:00,0.0,0.0,5087.610398271332 
 04/02  04:00:00,0.0,0.0,5029.63644151802 
 04/02  05:00:00,0.0,0.0,4968.044129436737 
 04/02  06:00:00,37.476667925688428,22.911802343516667,4942.914858767563 
 04/02  07:00:00,297.5380735533637,199.95020635128038,5146.206338673491 
 04/02  08:00:00,581.954043333043,379.6387798385722,15823.93530714647 
 04/02  09:00:00,799.1332238577503,516.1050725242703,125839.24575238984 
 04/02  10:00:00,793.4085758600022,520.5505221495836,154689.95132276044 
 04/02  11:00:00,616.0834095616277,416.4789188114489,162457.7009227921 
 04/02  12:00:00,425.5742406541872,298.45214842209608,150485.83926959846 
 04/02  13:00:00,406.99439257734977,279.0996142993586,146705.40558621114 
 04/02  14:00:00,476.0402531590575,309.0670967729962,166974.2242187961 
 04/02  15:00:00,481.0277226211072,300.8281609824698,186268.19249119564 
 04/02  16:00:00,400.2401955380392,245.6650463143665,180823.75871849565 
 04/02  17:00:00,262.5285673311853,159.99471435242359,172687.3271207588 
 04/02  18:00:00,43.64803867030128,26.165103808054075,91304.2595116498 
 04/02  19:00:00,0.0,0.0,60137.867675710644 
 04/02  20:00:00,0.0,0.0,41010.428393298906 
 04/02  21:00:00,0.0,0.0,5888.072901442055 
 04/02  22:00:00,0.0,0.0,5731.992606705528 
 04/02  23:00:00,0.0,0.0,5551.720336433326 
 04/02  24:00:00,0.0,0.0,5361.4316442277495 
 04/03  01:00:00,0.0,0.0,5156.227690679744 
 04/03  02:00:00,0.0,0.0,4887.57658558759 
 04/03  03:00:00,0.0,0.0,4643.376338244884 
 04/03  04:00:00,0.0,0.0,4415.3192633713525 
 04/03  05:00:00,0.0,0.0,4237.92070299664 
 04/03  06:00:00,26.323447404880978,17.328686520720138,4247.3418852545265 
 04/03  07:00:00,237.8961327305842,161.38899425196204,4500.295663962999 
 04/03  08:00:00,533.7202085280176,347.8662192378899,11986.688430798 
 04/03  09:00:00,783.2034230749096,506.3038164182728,155579.52110376818 
 04/03  10:00:00,799.0174869240562,523.9063626377185,151130.672013059 
 04/03  11:00:00,621.5704847665121,419.90352816004136,154916.5345500012 
 04/03  12:00:00,438.0579710779078,306.4056096738938,156779.36120946788 
 04/03  13:00:00,439.16157562159295,300.08966814984827,147359.88028761958 
 04/03  14:00:00,517.556438105184,335.48099580716515,140303.34382308313 
 04/03  15:00:00,482.05110502675719,301.5025119483441,150495.32538920074 
 04/03  16:00:00,393.2929573286622,241.97452112705188,140569.5967933902 
 04/03  17:00:00,235.53356853904959,144.37429555438335,115762.2097785179 
 04/03  18:00:00,43.72935284133728,26.224262962128397,34806.78340744865 
 04/03  19:00:00,0.0,0.0,16203.29038283555 
 04/03  20:00:00,0.0,0.0,6168.098789579471 
 04/03  21:00:00,0.0,0.0,5670.5723056908355 
 04/03  22:00:00,0.0,0.0,5188.101623299625 
 04/03  23:00:00,0.0,0.0,5094.658192542894 
 04/03  24:00:00,0.0,0.0,4973.774380006733 
 04/04  01:00:00,0.0,0.0,4863.313132409003 
 04/04  02:00:00,0.0,0.0,4744.838368466859 
 04/04  03:00:00,0.0,0.0,4615.280162742655 
 04/04  04:00:00,0.0,0.0,4500.7985205234845 
 04/04  05:00:00,0.0,0.0,4393.0844076671965 
 04/04  06:00:00,15.922993774330826,10.464650211966108,4353.628877290083 
 04/04  07:00:00,128.21703864059325,84.38641440412288,4545.5197676334255 
 04/04  08:00:00,308.0554432127797,198.41957955505095,16185.255635318543 
 04/04  09:00:00,487.083280360042,315.6009030325029,115856.78529989778 
 04/04  10:00:00,548.639615400226,360.889636421075,144643.63909981936 
 04/04  11:00:00,527.8832516033399,353.7479827897082,143041.86837048533 
 04/04  12:00:00,473.377935114695,319.54940218382429,135391.36784126619 
 04/04  13:00:00,451.5951092713155,302.5554006691616,129385.68626262405 
 04/04  14:00:00,448.07739693994287,292.4158594244787,145904.52337993674 
 04/04  15:00:00,437.46384348982277,277.4113526075634,159630.40935249709 
 04/04  16:00:00,344.1484067643806,215.08834705570374,161047.13489511718 
 04/04  17:00:00,191.95282903797046,120.27913472895303,147095.58722731219 
 04/04  18:00:00,28.862601925770347,17.919459542942034,71041.10697709587 
 04/04  19:00:00,0.0,0.0,48496.12673075181 
 04/04  20:00:00,0.0,0.0,32096.08222305348 
 04/04  21:00:00,0.0,0.0,5396.863665364279 
 04/04  22:00:00,0.0,0.0,5289.568059916069 
 04/04  23:00:00,0.0,0.0,5149.323721991151 
 04/04  24:00:00,0.0,0.0,5054.424148099206 
 04/05  01:00:00,0.0,0.0,5027.250244310072 
 04/05  02:00:00,0.0,0.0,4993.7943016189665 
 04/05  03:00:00,0.0,0.0,4849.595279012509 
 04/05  04:00:00,0.0,0.0,4650.852255502453 
 04/05  05:00:00,0.0,0.0,4450.310727189955 
 04/05  06:00:00,30.233436369088225,19.729649732943157,4406.620373730897 
 04/05  07:00:00,239.36214218208455,162.84822182418189,4662.786885398858 
 04/05  08:00:00,451.9482500883875,294.1705613321853,16678.92045517566 
 04/05  09:00:00,627.236888925128,407.01293643553256,119484.64385516889 
 04/05  10:00:00,646.4610309486444,425.87836888698629,123987.07769751887 
 04/05  11:00:00,559.2142151806502,375.89134893087199,126602.0886307755 
 04/05  12:00:00,495.8109851992612,335.66672653708067,128325.4430987599 
 04/05  13:00:00,450.318640271462,301.7060096954035,127491.13743564087 
 04/05  14:00:00,426.7291438149393,278.6419066278975,135552.41390058489 
 04/05  15:00:00,418.0582573943725,265.2379527062098,152031.4674136253 
 04/05  16:00:00,355.3878370597524,221.81465697136535,144008.84385803433 
 04/05  17:00:00,223.10406142542389,137.55537655084064,112748.91079783214 
 04/05  18:00:00,36.15208416012535,22.042726781066109,42632.40875250538 
 04/05  19:00:00,0.0,0.0,25252.857861214696 
 04/05  20:00:00,0.0,0.0,16335.055324893334 
 04/05  21:00:00,0.0,0.0,10811.383423734072 
 04/05  22:00:00,0.0,0.0,5257.766486613767 
 04/05  23:00:00,0.0,0.0,5126.9185609005 
 04/05  24:00:00,0.0,0.0,5029.743670809476 
 04/06  01:00:00,0.0,0.0,4970.121245666444 
 04/06  02:00:00,0.0,0.0,4862.576664412697 
 04/06  03:00:00,0.0,0.0,4701.65478929602 
 04/06  04:00:00,0.0,0.0,4490.638276429626 
 04/06  05:00:00,0.0,0.0,4315.931994801827 
 04/06  06:00:00,17.013231692150869,11.220204897689309,4236.088603757792 
 04/06  07:00:00,137.88225871476076,90.85986483358471,4249.0998602300015 
 04/06  08:00:00,338.7182507773744,218.26169915594526,4425.885085357642 
 04/06  09:00:00,503.8109904770574,326.4394014565102,112005.20614028361 
 04/06  10:00:00,547.4005793354853,360.0972024913224,126690.51115959788 
 04/06  11:00:00,506.63821036636389,339.2400371077652,132556.49347876325 
 04/06  12:00:00,469.6414677661678,316.63393476521227,120131.17945366346 
 04/06  13:00:00,443.72186423025638,296.95764899535558,52613.305013963945 
 04/06  14:00:00,425.7654454508475,278.01255396565406,52117.51079768123 
 04/06  15:00:00,424.5671367446025,269.3448842400793,53876.4969480669 
 04/06  16:00:00,354.3666908536804,221.37327036337306,49490.7495697683 
 04/06  17:00:00,207.07653635334575,128.75447467354523,41665.71541696769 
 04/06  18:00:00,31.71123377145909,19.528719587401839,28166.37414573994 
 04/06  19:00:00,0.0,0.0,16649.665420973903 
 04/06  20:00:00,0.0,0.0,12598.742979382303 
 04/06  21:00:00,0.0,0.0,10287.833855122588 
 04/06  22:00:00,0.0,0.0,4768.21668567687 
 04/06  23:00:00,0.0,0.0,4690.095774658462 
 04/06  24:00:00,0.0,0.0,4586.276312105781 
 04/07  01:00:00,0.0,0.0,4480.160239501096 
 04/07  02:00:00,0.0,0.0,4377.375642471312 
 04/07  03:00:00,0.0,0.0,4310.717093886636 
 04/07  04:00:00,0.0,0.0,4266.923478553331 
 04/07  05:00:00,0.0,0.0,4218.927500830018 
 04/07  06:00:00,54.5092736836342,32.55379144664051,4348.664806380207 
 04/07  07:00:00,428.8523934601687,282.013328992429,4845.674860701178 
 04/07  08:00:00,764.2749014498877,488.9486328570981,5474.370507074698 
 04/07  09:00:00,889.8619525913933,568.7029733165841,5913.396565424885 
 04/07  10:00:00,829.6440298954477,541.6566125709561,6287.249858964253 
 04/07  11:00:00,684.3665363773547,459.8363980191652,6523.35433401616 
 04/07  12:00:00,492.3581061718601,340.6734955940893,6681.704857949538 
 04/07  13:00:00,485.1522681012154,329.4544691645036,6773.119159782826 
 04/07  14:00:00,549.2753279456815,355.94961101788479,6918.376541681318 
 04/07  15:00:00,542.5086931122913,338.6851305084057,6946.018065185013 
 04/07  16:00:00,427.81322540153698,262.0797216102038,6904.7859142203315 
 04/07  17:00:00,241.78181045593275,147.76653482906216,6734.4341854349805 
 04/07  18:00:00,44.23688802865382,26.472271663958627,6473.823951756133 
 04/07  19:00:00,0.0,0.0,6215.904013482891 
 04/07  20:00:00,0.0,0.0,6104.043284434189 
 04/07  21:00:00,0.0,0.0,6004.46439064321 
 04/07  22:00:00,0.0,0.0,5862.362046461185 
 04/07  23:00:00,0.0,0.0,5693.296281808432 
 04/07  24:00:00,0.0,0.0,5536.528882901053 
 04/08  01:00:00,0.0,0.0,5431.290761874636 
 04/08  02:00:00,0.0,0.0,5323.671172328868 
 04/08  03:00:00,0.0,0.0,5163.4503584186195 
 04/08  04:00:00,0.0,0.0,4978.451424046358 
 04/08  05:00:00,0.0,0.0,4791.779760854137 
 04/08  06:00:00,51.91838374071321,31.32177532237883,4783.314742962211 
 04/08  07:00:00,396.1437927970146,262.6772244082501,5133.942780470518 
 04/08  08:00:00,664.2713280077818,430.44621823455858,19871.759678017417 
 04/08  09:00:00,766.3806143549797,495.6452907420442,186072.1969667305 
 04/08  10:00:00,725.9566416401921,477.6136536423398,171997.27003697246 
 04/08  11:00:00,545.099906349575,370.0530819023102,172032.61705732344 
 04/08  12:00:00,379.78132872576756,268.0271576645154,173359.37114358453 
 04/08  13:00:00,429.1304083092236,293.6097613018316,160168.3324255613 
 04/08  14:00:00,519.7756614930701,336.82188463768167,149493.67201630705 
 04/08  15:00:00,539.1172623442848,336.5202151859854,160610.35643257638 
 04/08  16:00:00,458.0144322430377,279.7079936054737,150019.32871385257 
 04/08  17:00:00,289.29900191268686,174.1093309578886,128250.69887075247 
 04/08  18:00:00,55.323621614826659,32.17645649916104,41354.13488718148 
 04/08  19:00:00,0.0,0.0,20192.558140801837 
 04/08  20:00:00,0.0,0.0,8167.530000313753 
 04/08  21:00:00,0.0,0.0,6218.066965825383 
 04/08  22:00:00,0.0,0.0,5763.3771520760465 
 04/08  23:00:00,0.0,0.0,5726.998936617096 
 04/08  24:00:00,0.0,0.0,5635.511884629457 
 04/09  01:00:00,0.0,0.0,5519.081684693118 
 04/09  02:00:00,0.0,0.0,5394.520359184925 
 04/09  03:00:00,0.0,0.0,5290.63375371644 
 04/09  04:00:00,0.0,0.0,5188.122112132431 
 04/09  05:00:00,0.0,0.0,5083.924606629525 
 04/09  06:00:00,85.92797541170677,48.408412604891008,5150.872434630363 
 04/09  07:00:00,602.0882299668154,386.03814974151347,5554.163143858161 
 04/09  08:00:00,816.4494080643116,520.8307591902944,5994.814054544308 
 04/09  09:00:00,832.2620673154402,536.4086024357701,6099.703384917651 
 04/09  10:00:00,822.3704225442833,538.1101757855278,6543.80268100637 
 04/09  11:00:00,707.5029809251788,474.8061204915248,7076.527047012719 
 04/09  12:00:00,541.395839331195,372.56228149458937,7262.486012504913 
 04/09  13:00:00,494.5465881784176,335.3403252432513,7330.15395328913 
 04/09  14:00:00,551.6200439369373,357.4162992863273,7370.999648711036 
 04/09  15:00:00,549.7272731492671,343.24120038515459,7289.349540777071 
 04/09  16:00:00,462.1299036682761,281.97505749232,7188.607725061201 
 04/09  17:00:00,287.1128308112183,172.93650783368114,6944.90313369753 
 04/09  18:00:00,51.20420047612702,29.959630637755827,6588.996089990459 
 04/09  19:00:00,0.0,0.0,6257.263966977826 
 04/09  20:00:00,0.0,0.0,6121.6186879823435 
 04/09  21:00:00,0.0,0.0,6006.06646955046 
 04/09  22:00:00,0.0,0.0,5864.6296274440065 
 04/09  23:00:00,0.0,0.0,5726.640479666738 
 04/09  24:00:00,0.0,0.0,5608.692372783401 
 04/10  01:00:00,0.0,0.0,5484.050843930345 
 04/10  02:00:00,0.0,0.0,5368.199960452284 
 04/10  03:00:00,0.0,0.0,5279.892293309885 
 04/10  04:00:00,0.0,0.0,5213.956345944335 
 04/10  05:00:00,0.0,0.0,5140.732026906678 
 04/10  06:00:00,57.549000700880778,34.58777092825021,5161.483937092621 
 04/10  07:00:00,430.0872597523837,284.15093352605529,5499.64297863911 
 04/10  08:00:00,720.3201370552575,464.27675404904127,14633.557309703678 
 04/10  09:00:00,862.9910141862046,555.0171462906686,185644.76199739695 
 04/10  10:00:00,815.1411659547033,533.8481572228051,170081.8761297166 
 04/10  11:00:00,622.8545102435709,420.7914349294645,169823.44185339998 
 04/10  12:00:00,446.78605817927339,311.928858578414,171217.45075719959 
 04/10  13:00:00,448.10199972430339,305.78312486291136,162152.45369031616 
 04/10  14:00:00,492.7385659205791,319.82428242084066,153871.97912728592 
 04/10  15:00:00,464.38443799198816,293.3465274573435,162264.69626923509 
 04/10  16:00:00,351.37003124546308,219.58976722970739,148863.80743048024 
 04/10  17:00:00,182.78146689765576,114.85234419830114,121737.66162269791 
 04/10  18:00:00,27.973558964907299,17.39228100809965,36142.0166593811 
 04/10  19:00:00,0.0,0.0,16878.30461483513 
 04/10  20:00:00,0.0,0.0,6501.145117474046 
 04/10  21:00:00,0.0,0.0,6017.608270811241 
 04/10  22:00:00,0.0,0.0,5556.720377187262 
 04/10  23:00:00,0.0,0.0,5509.886691281154 
 04/10  24:00:00,0.0,0.0,5439.524914769614 
 04/11  01:00:00,0.0,0.0,5367.506069168933 
 04/11  02:00:00,0.0,0.0,5311.782888795853 
 04/11  03:00:00,0.0,0.0,5170.289775481673 
 04/11  04:00:00,0.0,0.0,4977.498172504192 
 04/11  05:00:00,0.0,0.0,4774.890609675597 
 04/11  06:00:00,34.23522133736377,22.612836583722247,4735.991523275526 
 04/11  07:00:00,216.55121825449133,146.94535972257496,4979.867526891064 
 04/11  08:00:00,406.5818503479633,263.14864575859937,17526.369984727462 
 04/11  09:00:00,592.9076226792403,384.34877483449847,124164.66873588175 
 04/11  10:00:00,609.2811306582689,400.9862025465834,148379.4383911947 
 04/11  11:00:00,545.4186600269367,366.01148565733208,145670.24305331178 
 04/11  12:00:00,506.411830166922,343.90353996466657,139284.81177477676 
 04/11  13:00:00,487.89963816884008,328.533602602269,136428.75893900306 
 04/11  14:00:00,488.805211213705,319.38845369795089,155930.45997093895 
 04/11  15:00:00,457.02674742841148,289.73495517444959,170324.28999904707 
 04/11  16:00:00,361.1756617685599,225.45079142335104,170181.25881573664 
 04/11  17:00:00,211.25826218219687,131.1267426121737,154924.4336497861 
 04/11  18:00:00,35.522947878308468,21.968130829728965,74395.4950839281 
 04/11  19:00:00,0.0,0.0,50517.230820995035 
 04/11  20:00:00,0.0,0.0,33049.388431851294 
 04/11  21:00:00,0.0,0.0,5704.380037688682 
 04/11  22:00:00,0.0,0.0,5522.68299648034 
 04/11  23:00:00,0.0,0.0,5328.6076962951265 
 04/11  24:00:00,0.0,0.0,5145.472358997803 
 04/12  01:00:00,0.0,0.0,4967.767196520231 
 04/12  02:00:00,0.0,0.0,4787.240857238265 
 04/12  03:00:00,0.0,0.0,4651.205108288167 
 04/12  04:00:00,0.0,0.0,4569.8460888732925 
 04/12  05:00:00,0.0,0.0,4488.79039820783 
 04/12  06:00:00,46.181915549379258,29.81240685624012,4649.645459285438 
 04/12  07:00:00,298.95561870990357,204.99576170409436,5222.203864079238 
 04/12  08:00:00,587.0140799856395,382.9764944417762,18935.956370390802 
 04/12  09:00:00,734.0237580985009,475.5951967718399,136239.46695424475 
 04/12  10:00:00,696.6241823946981,458.71074462204509,135786.53268255128 
 04/12  11:00:00,569.9484353610638,383.5925970249609,135288.68638591458 
 04/12  12:00:00,495.76503743410879,338.88616440923786,137342.390124783 
 04/12  13:00:00,415.8311558453459,283.8727874146279,139503.46846236898 
 04/12  14:00:00,509.54923414935146,330.2159823268846,149356.62221326194 
 04/12  15:00:00,504.74328856769906,315.4522686694955,165691.71750985797 
 04/12  16:00:00,392.3385735778202,241.11942551766286,156469.56892427896 
 04/12  17:00:00,228.32301163448225,140.17186356204773,122193.56798746501 
 04/12  18:00:00,42.70559986353166,25.632228002111803,45316.88928337626 
 04/12  19:00:00,0.0,0.0,26346.753449128013 
 04/12  20:00:00,0.0,0.0,16870.785999486077 
 04/12  21:00:00,0.0,0.0,11255.200893366624 
 04/12  22:00:00,0.0,0.0,5708.422717120313 
 04/12  23:00:00,0.0,0.0,5643.726949905929 
 04/12  24:00:00,0.0,0.0,5468.542766257994 
 04/13  01:00:00,0.0,0.0,5175.636509300034 
 04/13  02:00:00,0.0,0.0,4868.6298764059475 
 04/13  03:00:00,0.0,0.0,4660.902829867101 
 04/13  04:00:00,0.0,0.0,4519.500486531783 
 04/13  05:00:00,0.0,0.0,4386.753667862668 
 04/13  06:00:00,91.88771693138738,53.92017164694986,4501.135381831737 
 04/13  07:00:00,529.5002356789154,349.85113892927708,5047.924569826512 
 04/13  08:00:00,816.2008932195621,521.1322834989666,5734.295885670767 
 04/13  09:00:00,902.257735462755,575.5728672577707,140216.4325195748 
 04/13  10:00:00,907.9926250772972,591.0311151002833,155321.7823272819 
 04/13  11:00:00,721.6565955419416,483.5394211568126,157769.96423499907 
 04/13  12:00:00,556.7195285122198,382.1978159507109,141934.66534158318 
 04/13  13:00:00,552.184893621642,372.350381593206,64251.14891126936 
 04/13  14:00:00,614.0335174695124,396.73923438528279,63119.78897569248 
 04/13  15:00:00,551.1297341494231,344.23417504113339,63307.4272271377 
 04/13  16:00:00,448.81219841431058,274.35217404097,56677.46990495534 
 04/13  17:00:00,229.01562540806433,140.45763782786086,46788.19305523732 
 04/13  18:00:00,37.8341660801706,22.931284041636276,31455.135689866464 
 04/13  19:00:00,0.0,0.0,18367.51371646211 
 04/13  20:00:00,0.0,0.0,14063.70406004341 
 04/13  21:00:00,0.0,0.0,11653.439600984724 
 04/13  22:00:00,0.0,0.0,5588.501040902873 
 04/13  23:00:00,0.0,0.0,5537.5057097791005 
 04/13  24:00:00,0.0,0.0,5455.621011328444 
 04/14  01:00:00,0.0,0.0,5328.916775959057 
 04/14  02:00:00,0.0,0.0,5213.47329438469 
 04/14  03:00:00,0.0,0.0,5104.636198782659 
 04/14  04:00:00,0.0,0.0,4962.82271117704 
 04/14  05:00:00,0.0,0.0,4811.826700978009 
 04/14  06:00:00,94.29142117829668,55.36080108693907,4872.016548973889 
 04/14  07:00:00,532.1365724200729,351.5146813910407,5290.198833217814 
 04/14  08:00:00,805.3069668863212,515.0631230754253,5810.206606579784 
 04/14  09:00:00,893.1128328694416,571.3235119546703,6146.162701458023 
 04/14  10:00:00,828.6842949656698,541.3916880854124,6521.63077155225 
 04/14  11:00:00,650.3506324972678,437.91520924211189,6855.253188989846 
 04/14  12:00:00,457.5244389345712,318.71280121185358,7143.905120814496 
 04/14  13:00:00,419.9871597245449,287.50152040367717,7357.256796672005 
 04/14  14:00:00,479.9196330804386,312.8430231142814,7499.544573110016 
 04/14  15:00:00,471.099406711584,296.4148120789352,7395.447790983083 
 04/14  16:00:00,376.2475522736241,233.19097168923325,7122.194090655816 
 04/14  17:00:00,215.8933981160526,133.4543598044907,6751.857185554822 
 04/14  18:00:00,33.42008952543492,20.498620957474939,6284.77338911964 
 04/14  19:00:00,0.0,0.0,5950.181640459806 
 04/14  20:00:00,0.0,0.0,5742.961115030873 
 04/14  21:00:00,0.0,0.0,5637.493483914671 
 04/14  22:00:00,0.0,0.0,5587.17978592517 
 04/14  23:00:00,0.0,0.0,5532.875450898853 
 04/14  24:00:00,0.0,0.0,5461.477417469549 
 04/15  01:00:00,0.0,0.0,5383.830597949301 
 04/15  02:00:00,0.0,0.0,5309.284295565107 
 04/15  03:00:00,0.0,0.0,5176.649312945419 
 04/15  04:00:00,0.0,0.0,5005.282903420022 
 04/15  05:00:00,0.0,0.0,4820.653797299275 
 04/15  06:00:00,36.27921066351043,24.214713318912584,4719.970702783591 
 04/15  07:00:00,243.5217165524041,165.68504669288999,4837.467913143749 
 04/15  08:00:00,508.36693824610105,331.34554339142377,19348.378896144553 
 04/15  09:00:00,741.2262771218983,480.12036701662665,182096.7898363891 
 04/15  10:00:00,802.1455757487752,526.4337257614307,169498.87653124176 
 04/15  11:00:00,614.7565488336089,415.71771514293558,169772.90379833824 
 04/15  12:00:00,424.4262005326735,295.77843086822966,170372.12503597176 
 04/15  13:00:00,485.1700197121947,327.16356222859408,155902.9495604301 
 04/15  14:00:00,476.32251076458308,311.1868328553805,143255.96849067743 
 04/15  15:00:00,470.4481043092142,296.1052326222968,154413.1959064988 
 04/15  16:00:00,428.3029554873587,262.08074515439406,145067.1816684194 
 04/15  17:00:00,287.56671994553468,172.96995899912927,124947.54717771097 
 04/15  18:00:00,54.83414942730937,31.93649940366947,40091.68291749206 
 04/15  19:00:00,0.0,0.0,19566.242003809708 
 04/15  20:00:00,0.0,0.0,7871.460983288643 
 04/15  21:00:00,0.0,0.0,5944.488724867656 
 04/15  22:00:00,0.0,0.0,5487.222317496507 
 04/15  23:00:00,0.0,0.0,5443.997970262732 
 04/15  24:00:00,0.0,0.0,5306.372345140789 
 04/16  01:00:00,0.0,0.0,5091.348202868773 
 04/16  02:00:00,0.0,0.0,4851.256566251425 
 04/16  03:00:00,0.0,0.0,4677.810924552085 
 04/16  04:00:00,0.0,0.0,4595.848319529804 
 04/16  05:00:00,0.0,0.0,4514.703139557628 
 04/16  06:00:00,82.63208366674808,49.74263570464549,4611.137645676608 
 04/16  07:00:00,484.90816775213809,322.2185647899982,5079.714566840982 
 04/16  08:00:00,782.295785510605,501.81691257039668,15849.909517954991 
 04/16  09:00:00,895.1634508939729,572.6282908657179,129339.71295988396 
 04/16  10:00:00,856.9117141762712,559.1090858498072,156821.78864369278 
 04/16  11:00:00,715.4191974192673,479.9829578783629,163120.54306330277 
 04/16  12:00:00,555.4423915141248,381.388460951538,151916.46112467009 
 04/16  13:00:00,558.4504159450133,376.19566492021189,150336.58988089668 
 04/16  14:00:00,611.7633880151035,395.46149211080549,173839.8049717686 
 04/16  15:00:00,580.016787327199,362.0505338577935,194615.09350097317 
 04/16  16:00:00,464.19241926623666,282.8648694136734,187590.97585098729 
 04/16  17:00:00,292.0232319593009,174.9889519253518,177239.01305693043 
 04/16  18:00:00,59.17979911591696,34.224133175700867,92826.04713960174 
 04/16  19:00:00,0.0,0.0,60085.755342447046 
 04/16  20:00:00,0.0,0.0,40463.06437419008 
 04/16  21:00:00,0.0,0.0,5649.117445375843 
 04/16  22:00:00,0.0,0.0,5476.099906393142 
 04/16  23:00:00,0.0,0.0,5295.5888810766055 
 04/16  24:00:00,0.0,0.0,5235.447801759515 
 04/17  01:00:00,0.0,0.0,5267.726668712497 
 04/17  02:00:00,0.0,0.0,5291.681948838248 
 04/17  03:00:00,0.0,0.0,5194.2535379321935 
 04/17  04:00:00,0.0,0.0,5024.943247467549 
 04/17  05:00:00,0.0,0.0,4860.599512183497 
 04/17  06:00:00,57.56472787452543,36.20124376786671,4914.222186236542 
 04/17  07:00:00,355.53714750608796,243.22821113474599,5324.063501511097 
 04/17  08:00:00,722.4431516038891,466.8194027312001,5891.005851307312 
 04/17  09:00:00,855.9632744892497,551.7591497515857,6232.477823004083 
 04/17  10:00:00,798.5950365183481,524.3053367923584,6502.764700764127 
 04/17  11:00:00,600.2600768230815,406.5251027384292,6722.9715887612665 
 04/17  12:00:00,415.5672186871464,292.0028306960291,6869.32392191226 
 04/17  13:00:00,431.8429079582731,295.2920246180619,6964.458443104887 
 04/17  14:00:00,522.3226322478025,338.5741199923271,7094.562414908413 
 04/17  15:00:00,533.8987631855784,333.44377381098027,7125.7206133312 
 04/17  16:00:00,453.33293624192819,276.7718250782804,7104.490409520512 
 04/17  17:00:00,289.5373263697367,173.67150060064373,6926.4393708005455 
 04/17  18:00:00,55.42453810970395,32.09346893103575,6547.903744391723 
 04/17  19:00:00,0.0,0.0,6119.396451345212 
 04/17  20:00:00,0.0,0.0,5904.790516860804 
 04/17  21:00:00,0.0,0.0,5784.473259076481 
 04/17  22:00:00,0.0,0.0,5644.6493361393805 
 04/17  23:00:00,0.0,0.0,5487.180345235177 
 04/17  24:00:00,0.0,0.0,5327.459566618733 
 04/18  01:00:00,0.0,0.0,5168.536322552005 
 04/18  02:00:00,0.0,0.0,5021.999824626283 
 04/18  03:00:00,0.0,0.0,4906.020398099406 
 04/18  04:00:00,0.0,0.0,4793.693046495001 
 04/18  05:00:00,0.0,0.0,4682.903891931921 
 04/18  06:00:00,65.59190235163611,40.8249767741447,4752.4652281627095 
 04/18  07:00:00,411.3270253470267,276.36307309580607,5156.123140290344 
 04/18  08:00:00,734.5912047280491,474.29161674162875,5697.796335906295 
 04/18  09:00:00,866.5255463131101,557.6431756781031,6094.298745519951 
 04/18  10:00:00,811.2900280292923,531.8213526146676,6442.953510824849 
 04/18  11:00:00,626.4848077628221,423.1196661882882,6741.0477933311495 
 04/18  12:00:00,455.99459104281569,317.71187216933108,6984.6094023747455 
