Date/Time,Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/01  01:00:00,6459.033815238749 
 04/01  02:00:00,6021.575766241925 
 04/01  03:00:00,5647.994511579528 
 04/01  04:00:00,5260.324307541435 
 04/01  05:00:00,4885.036346956644 
 04/01  06:00:00,4794.361884821573 
 04/01  07:00:00,5133.136766671735 
 04/01  08:00:00,22823.82065428641 
 04/01  09:00:00,198408.47762449759 
 04/01  10:00:00,197497.26253441393 
 04/01  11:00:00,199794.4011639913 
 04/01  12:00:00,205096.8791772989 
 04/01  13:00:00,197452.4983040027 
 04/01  14:00:00,191159.54867565158 
 04/01  15:00:00,203240.33113531234 
 04/01  16:00:00,188617.67319934633 
 04/01  17:00:00,163709.786655114 
 04/01  18:00:00,57951.92612470555 
 04/01  19:00:00,27632.383125840817 
 04/01  20:00:00,9846.263195180965 
 04/01  21:00:00,7658.913231379818 
 04/01  22:00:00,7074.343541701459 
 04/01  23:00:00,6930.443678329645 
 04/01  24:00:00,6780.553970285472 
 04/02  01:00:00,6638.4834068034625 
 04/02  02:00:00,6472.669015766758 
 04/02  03:00:00,6308.756386826332 
 04/02  04:00:00,6195.9113081923815 
 04/02  05:00:00,6083.047157817457 
 04/02  06:00:00,6010.214175454322 
 04/02  07:00:00,6148.384131759017 
 04/02  08:00:00,20581.817202812697 
 04/02  09:00:00,150908.3401494706 
 04/02  10:00:00,189403.42799321828 
 04/02  11:00:00,203440.67953313449 
 04/02  12:00:00,195819.5538466537 
 04/02  13:00:00,195213.31919009824 
 04/02  14:00:00,223133.65654809527 
 04/02  15:00:00,247499.70224008009 
 04/02  16:00:00,236069.9930617831 
 04/02  17:00:00,228098.71906781815 
 04/02  18:00:00,121878.87401413634 
 04/02  19:00:00,74894.62710411338 
 04/02  20:00:00,47102.54420541599 
 04/02  21:00:00,7484.261394363474 
 04/02  22:00:00,7241.482712727666 
 04/02  23:00:00,6971.430972569519 
 04/02  24:00:00,6695.66434527489 
 04/03  01:00:00,6408.560124084059 
 04/03  02:00:00,6049.084168337532 
 04/03  03:00:00,5719.064365045978 
 04/03  04:00:00,5403.182974222223 
 04/03  05:00:00,5138.99120921387 
 04/03  06:00:00,5082.654814915663 
 04/03  07:00:00,5286.15474728838 
 04/03  08:00:00,17086.860242153758 
 04/03  09:00:00,191888.63237787086 
 04/03  10:00:00,188709.22674210405 
 04/03  11:00:00,191474.49244499728 
 04/03  12:00:00,194867.37579238803 
 04/03  13:00:00,188669.21849809847 
 04/03  14:00:00,187143.5496264392 
 04/03  15:00:00,201800.36358192078 
 04/03  16:00:00,185094.18070030586 
 04/03  17:00:00,153068.6102122075 
 04/03  18:00:00,50313.9869829561 
 04/03  19:00:00,22748.181462077726 
 04/03  20:00:00,7622.032037330871 
 04/03  21:00:00,7071.342821372127 
 04/03  22:00:00,6527.301247151497 
 04/03  23:00:00,6359.171986021479 
 04/03  24:00:00,6167.112145996415 
 04/04  01:00:00,5991.364821562834 
 04/04  02:00:00,5809.324659243032 
 04/04  03:00:00,5618.761024594052 
 04/04  04:00:00,5446.8040087740455 
 04/04  05:00:00,5287.455402698096 
 04/04  06:00:00,5206.799439250661 
 04/04  07:00:00,5380.732894528414 
 04/04  08:00:00,20574.51264134314 
 04/04  09:00:00,140310.53119143504 
 04/04  10:00:00,175311.21109752239 
 04/04  11:00:00,181367.51779626087 
 04/04  12:00:00,173090.7253427521 
 04/04  13:00:00,169132.10175825098 
 04/04  14:00:00,189230.30321019644 
 04/04  15:00:00,210204.34662085316 
 04/04  16:00:00,205839.9493824326 
 04/04  17:00:00,188876.52910498787 
 04/04  18:00:00,93060.19378380291 
 04/04  19:00:00,60966.34933869925 
 04/04  20:00:00,36745.87126798332 
 04/04  21:00:00,6707.99277937078 
 04/04  22:00:00,6542.055681251797 
 04/04  23:00:00,6335.887578459978 
 04/04  24:00:00,6179.524545922206 
 04/05  01:00:00,6101.4074875850665 
 04/05  02:00:00,6018.05566583301 
 04/05  03:00:00,5817.056792074824 
 04/05  04:00:00,5554.161724689093 
 04/05  05:00:00,5287.550078145038 
 04/05  06:00:00,5198.618434007062 
 04/05  07:00:00,5421.285890739585 
 04/05  08:00:00,21534.290785721958 
 04/05  09:00:00,144482.92554009576 
 04/05  10:00:00,151254.78601540914 
 04/05  11:00:00,152067.77703710847 
 04/05  12:00:00,154673.49855590546 
 04/05  13:00:00,157024.924702399 
 04/05  14:00:00,169473.2843239815 
 04/05  15:00:00,187485.80850507754 
 04/05  16:00:00,177692.72558702474 
 04/05  17:00:00,142528.1465921082 
 04/05  18:00:00,53220.656411771466 
 04/05  19:00:00,28835.159370005993 
 04/05  20:00:00,17472.76189514316 
 04/05  21:00:00,12044.997239153745 
 04/05  22:00:00,6571.955118955589 
 04/05  23:00:00,6375.4187809095965 
 04/05  24:00:00,6216.611445784344 
 04/06  01:00:00,6101.828345353813 
 04/06  02:00:00,5923.378558125502 
 04/06  03:00:00,5691.202763716735 
 04/06  04:00:00,5396.725122982113 
 04/06  05:00:00,5131.794931703772 
 04/06  06:00:00,4975.048394190789 
 04/06  07:00:00,4916.906020731266 
 04/06  08:00:00,5036.9461397848345 
 04/06  09:00:00,139695.57612085893 
 04/06  10:00:00,160181.5678793259 
 04/06  11:00:00,165160.6125387571 
 04/06  12:00:00,152154.30908182116 
 04/06  13:00:00,70953.22833506823 
 04/06  14:00:00,71734.85009466043 
 04/06  15:00:00,74892.23465281911 
 04/06  16:00:00,69654.30073932339 
 04/06  17:00:00,59419.159881513035 
 04/06  18:00:00,40193.65735176458 
 04/06  19:00:00,22079.659349410034 
 04/06  20:00:00,16598.282541074983 
 04/06  21:00:00,14017.227301982552 
 04/06  22:00:00,5930.7952103192665 
 04/06  23:00:00,5802.460599848881 
 04/06  24:00:00,5641.995569827827 
 04/07  01:00:00,5482.152969501941 
 04/07  02:00:00,5327.8664221221625 
 04/07  03:00:00,5215.8522203268485 
 04/07  04:00:00,5130.290691569017 
 04/07  05:00:00,5039.731278700182 
 04/07  06:00:00,5148.665095976076 
 04/07  07:00:00,5625.951695888022 
 04/07  08:00:00,6233.463907308983 
 04/07  09:00:00,6691.893713916815 
 04/07  10:00:00,7096.667084188991 
 04/07  11:00:00,7388.620669700191 
 04/07  12:00:00,7621.87555158954 
 04/07  13:00:00,7809.1795159277035 
 04/07  14:00:00,8057.175166644894 
 04/07  15:00:00,8218.627546096242 
 04/07  16:00:00,8317.057148531223 
 04/07  17:00:00,8286.765894191267 
 04/07  18:00:00,8122.0039625199 
 04/07  19:00:00,7899.49062910354 
 04/07  20:00:00,7749.952283493253 
 04/07  21:00:00,7590.904531610141 
 04/07  22:00:00,7363.439793105619 
 04/07  23:00:00,7101.552357024427 
 04/07  24:00:00,6859.400034463252 
 04/08  01:00:00,6687.284627926781 
 04/08  02:00:00,6515.399993724869 
 04/08  03:00:00,6286.243201578691 
 04/08  04:00:00,6031.784923585471 
 04/08  05:00:00,5775.9154659201995 
 04/08  06:00:00,5721.628949592494 
 04/08  07:00:00,6027.636793446688 
 04/08  08:00:00,25030.459699244606 
 04/08  09:00:00,213502.1501869286 
 04/08  10:00:00,213038.22633004469 
 04/08  11:00:00,214092.27965511548 
 04/08  12:00:00,217256.43298060806 
 04/08  13:00:00,208314.6788378218 
 04/08  14:00:00,200935.7522711924 
 04/08  15:00:00,212590.62104623064 
 04/08  16:00:00,197196.67643489355 
 04/08  17:00:00,171259.5130869811 
 04/08  18:00:00,59149.51651768553 
 04/08  19:00:00,28073.27668165255 
 04/08  20:00:00,9915.389673942458 
 04/08  21:00:00,7732.607118863357 
 04/08  22:00:00,7220.010838119218 
 04/08  23:00:00,7123.318636432432 
 04/08  24:00:00,6963.749739460687 
 04/09  01:00:00,6775.954151438549 
 04/09  02:00:00,6583.900344961046 
 04/09  03:00:00,6416.649309773315 
 04/09  04:00:00,6253.082051344022 
 04/09  05:00:00,6090.311200239769 
 04/09  06:00:00,6117.076695437324 
 04/09  07:00:00,6464.607710021256 
 04/09  08:00:00,6858.353243671693 
 04/09  09:00:00,6963.250489177605 
 04/09  10:00:00,7468.135704456698 
 04/09  11:00:00,8081.105099861398 
 04/09  12:00:00,8333.025263081528 
 04/09  13:00:00,8475.938022353572 
 04/09  14:00:00,8590.738526806064 
 04/09  15:00:00,8607.06402006356 
 04/09  16:00:00,8599.87090973067 
 04/09  17:00:00,8449.920815597532 
 04/09  18:00:00,8180.670155173416 
 04/09  19:00:00,7891.420963523731 
 04/09  20:00:00,7728.155038524484 
 04/09  21:00:00,7557.074247615335 
 04/09  22:00:00,7346.927557314659 
 04/09  23:00:00,7137.4975332724325 
 04/09  24:00:00,6948.582761092773 
 04/10  01:00:00,6756.434049708644 
 04/10  02:00:00,6578.166315523037 
 04/10  03:00:00,6429.773082816129 
 04/10  04:00:00,6307.076108506523 
 04/10  05:00:00,6181.358029683329 
 04/10  06:00:00,6162.158657456596 
 04/10  07:00:00,6459.567644663263 
 04/10  08:00:00,21519.82666808353 
 04/10  09:00:00,211999.50206679663 
 04/10  10:00:00,213771.43725796068 
 04/10  11:00:00,214215.49408043977 
 04/10  12:00:00,217358.08397267454 
 04/10  13:00:00,212900.5753542578 
 04/10  14:00:00,209126.6250547905 
 04/10  15:00:00,221013.0651069988 
