Date/Time,AF305DAYLIGHTCONTROL:Daylighting Reference Point 1 Illuminance [lux](Hourly),AF305DAYLIGHTCONTROL:Daylighting Reference Point 2 Illuminance [lux](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/01  01:00:00,0.0,0.0,7620.630767040252 
 04/01  02:00:00,0.0,0.0,7489.748364167768 
 04/01  03:00:00,0.0,0.0,7436.919477585925 
 04/01  04:00:00,0.0,0.0,7383.50577300822 
 04/01  05:00:00,0.0,0.0,7327.701576042108 
 04/01  06:00:00,41.27702194453163,24.838173195066589,7306.959725158929 
 04/01  07:00:00,348.0675083933684,230.80437025598043,7372.22256167628 
 04/01  08:00:00,685.1106927098522,442.1076847208576,16519.71152660465 
 04/01  09:00:00,835.9207072118842,537.8685526861734,134669.6398328345 
 04/01  10:00:00,801.5259260633289,525.1369450529957,147040.45668393168 
 04/01  11:00:00,634.9770529988008,428.22746847801678,154563.04029272326 
 04/01  12:00:00,530.8235832989167,365.5428801050043,158316.20511047095 
 04/01  13:00:00,555.013843093217,374.23703901472569,150276.5457591595 
 04/01  14:00:00,615.5587584543867,397.9980117019625,142321.22954762809 
 04/01  15:00:00,566.1604494972784,353.65157625958138,148090.41607938725 
 04/01  16:00:00,466.39997806590898,284.5460382253779,137106.20544719947 
 04/01  17:00:00,291.56829038774046,175.44771292752737,120566.25809028132 
 04/01  18:00:00,56.75152394678967,32.94295625763428,41625.48130186071 
 04/01  19:00:00,0.0,0.0,20622.774253161693 
 04/01  20:00:00,0.0,0.0,8048.559827158177 
 04/01  21:00:00,0.0,0.0,6188.8206409975355 
 04/01  22:00:00,0.0,0.0,7743.238066268562 
 04/01  23:00:00,0.0,0.0,7693.7775211347935 
 04/01  24:00:00,0.0,0.0,7680.000641569756 
 04/02  01:00:00,0.0,0.0,7668.69195417858 
 04/02  02:00:00,0.0,0.0,7653.208992587913 
 04/02  03:00:00,0.0,0.0,7637.2180366203365 
 04/02  04:00:00,0.0,0.0,7634.844816453616 
 04/02  05:00:00,0.0,0.0,7632.401125999136 
 04/02  06:00:00,37.476667925688428,22.911802343516667,7630.72320534943 
 04/02  07:00:00,297.5380735533637,199.95020635128038,7631.806943723615 
 04/02  08:00:00,581.954043333043,379.6387798385722,14376.89919116004 
 04/02  09:00:00,799.1332238577503,516.1050725242703,103889.5742346891 
