Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/01  01:00:00,27.233333333333336,7931.502119250251 
 04/01  02:00:00,26.724999999999999,7649.144638721446 
 04/01  03:00:00,26.133333333333338,7471.905109150276 
 04/01  04:00:00,25.275000000000003,7284.518048093979 
 04/01  05:00:00,24.375,7096.499436204092 
 04/01  06:00:00,24.46666666666667,7058.224653104019 
 04/01  07:00:00,25.5,7222.392367022049 
 04/01  08:00:00,26.816666666666668,30178.064913017046 
 04/01  09:00:00,27.983333333333336,74223.21579342257 
 04/01  10:00:00,28.98333333333333,111207.56252620938 
 04/01  11:00:00,29.808333333333335,108957.7706878427 
 04/01  12:00:00,30.39166666666667,145692.2084304137 
 04/01  13:00:00,30.71666666666667,144750.0207945842 
 04/01  14:00:00,30.8,168704.70608551985 
 04/01  15:00:00,30.625,179179.60904268255 
 04/01  16:00:00,30.266666666666667,162582.0953359821 
 04/01  17:00:00,29.866666666666665,144000.90689667024 
 04/01  18:00:00,29.525000000000003,54855.06860949832 
 04/01  19:00:00,29.224999999999999,26956.384545163008 
 04/01  20:00:00,28.925,11261.39319693471 
 04/01  21:00:00,28.625,8725.113394656088 
 04/01  22:00:00,28.325,8287.218249217885 
 04/01  23:00:00,28.025000000000003,8278.395060137722 
 04/01  24:00:00,27.78333333333333,8263.208196580206 
 04/02  01:00:00,27.641666666666667,8058.5302471338555 
 04/02  02:00:00,27.483333333333336,8023.605157985233 
 04/02  03:00:00,27.34166666666667,7950.427254793885 
 04/02  04:00:00,27.3,7914.079816299721 
 04/02  05:00:00,27.241666666666665,7874.24589598256 
 04/02  06:00:00,27.258333333333338,7846.623646764718 
 04/02  07:00:00,27.53333333333333,7854.258472853665 
 04/02  08:00:00,28.05,21274.654589940434 
 04/02  09:00:00,28.883333333333338,88727.43523635397 
 04/02  10:00:00,29.825000000000004,117513.84916445833 
 04/02  11:00:00,30.55,124669.1081908078 
 04/02  12:00:00,30.858333333333336,152566.8027627693 
 04/02  13:00:00,30.84166666666667,140519.31759061598 
 04/02  14:00:00,30.683333333333335,161277.37790614525 
 04/02  15:00:00,30.483333333333336,143270.91854347886 
 04/02  16:00:00,30.28333333333333,148811.2546220748 
 04/02  17:00:00,30.083333333333333,127038.67748377938 
 04/02  18:00:00,29.88333333333334,112001.7420280314 
